Isomap1,Isomap2,Macro_Desastre
0.0022925370071085324,0.008028291709109578,Inundações e Chuvas
0.02326983156034589,0.05605056933920094,Inundações e Chuvas
-0.013105103637589228,-0.0010100341515486264,Seca e Estiagem
-0.002822694096404378,0.00642389906371873,Seca e Estiagem
-0.0024207017964132547,0.006718680919141815,Inundações e Chuvas
-0.00893827560638439,0.0016910029687724432,Seca e Estiagem
-0.002608570955313149,0.006074936681639789,Seca e Estiagem
-0.0034124729193851433,0.006011827443127815,Seca e Estiagem
-0.0024184074818533225,0.006717451454591917,Seca e Estiagem
-0.0030284299036040033,0.006357591924929109,Seca e Estiagem
-0.0049007169580390555,0.005367553104756279,Seca e Estiagem
-0.0878358195456519,0.2961531795357192,Inundações e Chuvas
-0.023380095543160364,-0.017559540212332227,Seca e Estiagem
-0.005770953095481585,0.004516827917654971,Seca e Estiagem
-0.014936435702791165,-0.005675994414226973,Seca e Estiagem
-0.00534001629983129,0.004316656826333855,Seca e Estiagem
-0.005817738925615961,0.029043208462193087,Tempestades Severas
-0.0024184074818533225,0.006717451454591917,Incêndios Florestais
-0.02765472944443253,0.001360807919496824,Seca e Estiagem
-0.0076331458547917895,0.002776239037970253,Seca e Estiagem
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.0029014459045315077,0.0061399934138004425,Tempestades Severas
-0.003015726565693742,0.005656088468391139,Inundações e Chuvas
-0.0024184074818533225,0.006717451454591917,Tempestades Severas
-0.002429901352726723,0.006706132377979972,Tempestades Severas
-0.005587921189807728,0.004261018280680967,Seca e Estiagem
-0.009928691108914221,0.001874999121475315,Seca e Estiagem
-0.002879486549481472,0.006358106228318802,Seca e Estiagem
-0.003245474819051483,0.006356964409927691,Seca e Estiagem
0.16806711375200434,-0.07412580154793535,Inundações e Chuvas
0.0021103931995378974,0.006036114747772361,Inundações e Chuvas
-0.0029469925782716166,0.00625086731477731,Seca e Estiagem
-0.0029987096941332695,0.006355247821043533,Seca e Estiagem
0.025196883489460562,0.005932431805943881,Inundações e Chuvas
-0.0034361480913180317,0.004615843958698332,Seca e Estiagem
0.02110505141685964,-0.0033599152377089187,Tempestades Severas
-0.0024184074818533225,0.006717451454591917,Seca e Estiagem
-0.000967859209453983,-0.0030018872311777093,Tempestades Severas
-0.007392103402778418,0.0034695947889099507,Inundações e Chuvas
-0.0032275915900617284,0.006670443944082292,Seca e Estiagem
-0.031063612603298624,0.12437197286792673,Inundações e Chuvas
-0.43608246428259423,0.1582702200446818,Seca e Estiagem
-0.0005111842901361003,0.006270233616562449,Inundações e Chuvas
-0.010527344994586527,-0.0001118184694431898,Seca e Estiagem
-0.0023792465603563505,0.0053317651503041,Inundações e Chuvas
-0.004299840507476195,0.0053378023445937945,Seca e Estiagem
0.0013557715535995314,0.0057965710617301205,Tempestades Severas
-0.04432478400991692,0.18953546564202023,Inundações e Chuvas
-0.007418359415912512,0.002486596792841881,Seca e Estiagem
-0.06001972231519048,-0.05547680998350541,Seca e Estiagem
-0.0024184074818533225,0.006717451454591917,Tempestades Severas
-0.0017387981222660492,0.006463699930723682,Inundações e Chuvas
-0.008672459870849598,0.007662823939810325,Inundações e Chuvas
0.04557611904387948,-0.002371208965527456,Tempestades Severas
-0.007044883766296811,0.003080170746896812,Seca e Estiagem
-0.023156485654232808,-0.011120754852535226,Seca e Estiagem
-0.03227424605737432,-0.02963167809787846,Seca e Estiagem
0.003914016882724868,-0.0019432779069246604,Inundações e Chuvas
-0.028009144316522683,-0.013689011834246681,Seca e Estiagem
0.5372194315148466,0.13097802911911716,Inundações e Chuvas
-0.012637200722071319,-0.004663080110358332,Seca e Estiagem
-0.014135339442275711,-0.003086558021564326,Seca e Estiagem
-0.009066894495122546,0.0016179741332076533,Seca e Estiagem
-0.001124111237245061,0.0023188132312980227,Incêndios Florestais
-0.003163725300732406,0.0066272866807863245,Incêndios Florestais
-0.0024184074818533225,0.006717451454591917,Tempestades Severas
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.0033577941366233766,0.00766024116298845,Inundações e Chuvas
0.0014528609312297644,0.005785357998269056,Inundações e Chuvas
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.004400496607989623,0.004907510640821429,Seca e Estiagem
-0.002761714304777018,0.006024877842667525,Seca e Estiagem
-0.0578215708332814,-0.053099805594551776,Seca e Estiagem
-0.0042610409102350425,0.005097409804355711,Seca e Estiagem
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.004335991236429437,0.005478200242517567,Incêndios Florestais
-0.003032205611896867,0.006361934309880256,Seca e Estiagem
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.002420421892095642,0.006715716202283547,Seca e Estiagem
0.0026657462533166165,-0.0030554040032534997,Inundações e Chuvas
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.00294954929875788,0.01701871233396161,Inundações e Chuvas
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.003928290829615971,0.0018151345377058535,Inundações e Chuvas
-0.00347175732183507,0.009735589378531992,Inundações e Chuvas
-0.004410627847044775,0.013127044928692688,Inundações e Chuvas
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.01081442164308615,0.0010648365236237262,Seca e Estiagem
-0.0031780899199269244,0.008496539870805843,Inundações e Chuvas
-0.0025109097778872615,0.006639284332516263,Inundações e Chuvas
-0.0024184074818533225,0.006717451454591917,Deslizamentos
-0.06258052485242736,-0.05826456767102482,Seca e Estiagem
-0.016728141934783988,-0.009036638310748791,Inundações e Chuvas
0.020014392974453662,-0.003336370702609542,Inundações e Chuvas
-0.0030061551744081155,0.006353671238818694,Seca e Estiagem
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.0006900049766815274,0.00926624294707208,Inundações e Chuvas
-0.003587917636348417,0.005717882376007098,Seca e Estiagem
-0.5576944817539241,-0.5393430071621779,Seca e Estiagem
-0.0026364240374699512,0.006740317745900666,Inundações e Chuvas
-0.004999164116686455,0.005377312116966845,Seca e Estiagem
0.0055072882428141645,0.002512409835700967,Inundações e Chuvas
-0.0026102098797894445,0.006591671553697727,Inundações e Chuvas
-0.0027655039045128495,0.006105838963289734,Seca e Estiagem
-0.0059345807106204644,0.003988634466867579,Seca e Estiagem
-0.0024184074818533225,0.006717451454591917,Seca e Estiagem
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
-0.005191361281967607,0.00539636451531518,Seca e Estiagem
-0.17413305675678248,-0.16664939038977827,Seca e Estiagem
0.01271181842619901,-0.008073749708898258,Tempestades Severas
-0.0033930736982424694,0.006030950216925868,Seca e Estiagem
-0.0013476415312808352,0.006779970206464351,Inundações e Chuvas
0.72822161303766,0.09018233321431263,Inundações e Chuvas
-0.1160633895772192,0.5127086842841524,Inundações e Chuvas
-0.07125739838160401,-0.06668787600182252,Seca e Estiagem
0.008742302294269377,0.04710656523136934,Inundações e Chuvas
