PCA1,PCA2,Macro_Desastre
-0.2886310588129275,-0.0006870773078380167,Inundações e Chuvas
1.132385067636404,-0.13574061762838988,Inundações e Chuvas
-0.42470132958731,-0.023416905721752965,Seca e Estiagem
-0.4157555976832292,-0.020417793957828483,Seca e Estiagem
-0.41585222051828424,-0.0203164265934596,Inundações e Chuvas
-0.41601765274659414,-0.021685162355487512,Seca e Estiagem
-0.4133894290997336,-0.020546470381556128,Seca e Estiagem
-0.4152624119089742,-0.02054434079398392,Seca e Estiagem
-0.4158595539428554,-0.02031510434063298,Seca e Estiagem
-0.41480687586315595,-0.02041609558909633,Seca e Estiagem
-0.41575879990111264,-0.020430842169695755,Seca e Estiagem
4.400337178615178,-0.05671513024588795,Inundações e Chuvas
-0.4293137286279842,-0.025550409800469055,Seca e Estiagem
-0.4185827662560005,-0.021248864857590772,Seca e Estiagem
-0.4178448563425973,-0.02298595373358852,Seca e Estiagem
-0.4156030042839141,-0.02080893398650629,Seca e Estiagem
-0.18235080687567493,-0.0385989084669695,Tempestades Severas
-0.4158595539428554,-0.02031510434063298,Incêndios Florestais
-0.4343917932045188,-0.022238587130707622,Seca e Estiagem
-0.4197761931299154,-0.021812328823391187,Seca e Estiagem
-0.4158595539428554,-0.02031510434063298,Inundações e Chuvas
-0.41401260890257935,-0.02048696366714861,Tempestades Severas
-0.26863719432480687,-0.0923747661460394,Inundações e Chuvas
-0.4158595539428554,-0.02031510434063298,Tempestades Severas
-0.4158438702203136,-0.020316563720275863,Tempestades Severas
-0.4156153177440224,-0.021013924257865055,Seca e Estiagem
-0.4219188534119876,-0.022537122462915976,Seca e Estiagem
-0.41588471949968087,-0.020377829976303743,Seca e Estiagem
-0.41507733820659765,-0.020476245508426305,Seca e Estiagem
0.06665959073117879,0.05847220275688602,Inundações e Chuvas
-0.4103418091299671,-0.01967691126889627,Inundações e Chuvas
-0.4156918177800541,-0.02040411868186685,Seca e Estiagem
-0.41492087778799003,-0.020405925653175838,Seca e Estiagem
-0.2704694082960082,-0.012873060479501416,Inundações e Chuvas
-0.389027382237473,-0.015370200671675997,Seca e Estiagem
-0.04295734681596909,-0.05097180725972447,Tempestades Severas
-0.4158595539428554,-0.02031510434063298,Seca e Estiagem
0.21988149689138223,-0.08237216043452071,Tempestades Severas
-0.05520176642417763,-0.20468627750241117,Inundações e Chuvas
-0.3825158758631039,-0.02016550901062213,Seca e Estiagem
1.3950897398527007,-0.07271053749205678,Inundações e Chuvas
7.322019139125011,-3.4824831493461645,Seca e Estiagem
-0.3646896955334883,-0.04210387152548149,Inundações e Chuvas
-0.4164518666967563,-0.021826012608329608,Seca e Estiagem
-0.3860807325984704,-0.03701202558609477,Inundações e Chuvas
-0.4158027451520147,-0.02061345765274092,Seca e Estiagem
-0.41322651713034864,-0.020039338875944276,Tempestades Severas
1.7772812420356219,-0.25364096211041576,Inundações e Chuvas
-0.36511669675882613,-0.04406146980170822,Seca e Estiagem
-0.44413387036308405,-0.03182747029014251,Seca e Estiagem
-0.4158595539428554,-0.02031510434063298,Tempestades Severas
-0.39020816683044124,-0.032475101856582686,Inundações e Chuvas
0.22005350052182376,-0.277235750628105,Inundações e Chuvas
0.2341886042104106,0.05224635255064741,Tempestades Severas
-0.4164768004965305,-0.02112599365590644,Seca e Estiagem
-0.4303231241431527,-0.02572368504973347,Seca e Estiagem
-0.43307629130330283,-0.026682114643589605,Seca e Estiagem
0.25044688671617216,-0.3859563719180931,Inundações e Chuvas
0.22220521056425374,-0.003168445413579266,Seca e Estiagem
8.855144328588606,-1.0797043227435035,Inundações e Chuvas
-0.42213343393525316,-0.022596676380182458,Seca e Estiagem
-0.41441178770378656,-0.022654074311841195,Seca e Estiagem
-0.41144867747508684,-0.022157721520232335,Seca e Estiagem
-0.16368243617819037,-0.029548109826421518,Incêndios Florestais
-0.40485619442348564,-0.02372398278242048,Incêndios Florestais
-0.4158595539428554,-0.02031510434063298,Tempestades Severas
-0.4158595539428554,-0.02031510434063298,Inundações e Chuvas
-0.40407511660047685,-0.020586516865899202,Inundações e Chuvas
-0.41310801496098243,-0.01999468555193802,Inundações e Chuvas
-0.4158595539428554,-0.02031510434063298,Inundações e Chuvas
-0.41204254642371607,-0.021041768957319327,Seca e Estiagem
-0.4131208772494901,-0.020569939823986323,Seca e Estiagem
-0.4359442514727776,-0.03125390215330453,Seca e Estiagem
-0.41640080088840986,-0.020591986343792116,Seca e Estiagem
-0.4158595539428554,-0.02031510434063298,Inundações e Chuvas
-0.4099815117954404,-0.021075727278580186,Incêndios Florestais
-0.41475814507647407,-0.020419110551770057,Seca e Estiagem
-0.4158595539428554,-0.02031510434063298,Inundações e Chuvas
-0.4158595539428554,-0.02031510434063298,Inundações e Chuvas
-0.41585706446308685,-0.02031533598819535,Seca e Estiagem
0.06807593140504811,-0.07166063002136619,Inundações e Chuvas
-0.4158595539428554,-0.02031510434063298,Inundações e Chuvas
-0.29289050002700384,-0.04269160636178772,Inundações e Chuvas
-0.4158595539428554,-0.02031510434063298,Inundações e Chuvas
-0.2754869994172403,-0.061262429877304334,Inundações e Chuvas
-0.3899160054553196,-0.021201090481293487,Inundações e Chuvas
-0.3557325068713072,-0.02112317575021583,Inundações e Chuvas
-0.4158595539428554,-0.02031510434063298,Inundações e Chuvas
-0.422887476810522,-0.022622283437063816,Seca e Estiagem
-0.4002978249050766,-0.02084590267333331,Inundações e Chuvas
-0.41573507995442865,-0.02032668671875104,Inundações e Chuvas
-0.4158595539428554,-0.02031510434063298,Deslizamentos
-0.44461453355013436,-0.03114791376807955,Seca e Estiagem
-0.04872741062984983,-0.2178227366233941,Inundações e Chuvas
0.26181544996261075,-0.3233857179959626,Inundações e Chuvas
-0.4149604137480931,-0.020403328264047227,Seca e Estiagem
-0.4158595539428554,-0.02031510434063298,Inundações e Chuvas
-0.4158595539428554,-0.02031510434063298,Inundações e Chuvas
-0.36992100700424096,-0.01788804673774586,Inundações e Chuvas
-0.41554577777383317,-0.020545400819629175,Seca e Estiagem
-0.6620231360234781,-0.11302585176962686,Seca e Estiagem
-0.4159391348921985,-0.02037344187971546,Inundações e Chuvas
-0.41613969030569853,-0.02039540009265451,Seca e Estiagem
-0.1603731096699677,-0.1250958628269754,Inundações e Chuvas
-0.41555126349576044,-0.020345710568784328,Inundações e Chuvas
-0.41383563683985275,-0.02050571022077719,Seca e Estiagem
-0.41744258252734145,-0.021049789753748573,Seca e Estiagem
