KPCA1,KPCA2,Macro_Desastre
-0.49708429039486773,-0.4709034224385972,Seca e Estiagem
-0.49708473400524156,-0.47090383278046855,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.497084258998021,-0.4709035026181582,Seca e Estiagem
-0.49714168952509813,-0.47095523838141445,Seca e Estiagem
-0.49706585153475547,-0.4708107956500842,Tempestades Severas
-0.49708427794002763,-0.47090343170608684,Seca e Estiagem
-0.49708716949078036,-0.47028785718131877,Inundações e Chuvas
-0.4960108588822423,-0.4538105615780532,Inundações e Chuvas
-0.49772973560866673,-0.4712467170039511,Inundações e Chuvas
-0.49710065901238754,-0.47091728529443955,Seca e Estiagem
-0.4973862018502301,-0.4584313469859025,Inundações e Chuvas
-0.4970847714077767,-0.47090374085107856,Seca e Estiagem
-0.4970864413111012,-0.4707487877135551,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.4971009490948081,-0.4695324968187699,Inundações e Chuvas
-0.49708572246407295,-0.47089923842203435,Inundações e Chuvas
-0.49708670543562844,-0.47090427810472724,Seca e Estiagem
-0.4972049873756995,-0.4707630319304055,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970854811768992,-0.47076952199179073,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708393145888147,-0.4709032181841536,Tempestades Severas
-0.5081251921034553,-0.4792653453731179,Inundações e Chuvas
-0.49708396921131726,-0.4709019112663622,Deslizamentos
-0.49708415987313365,-0.4708556439917404,Inundações e Chuvas
-0.49708677778311006,-0.4708420160399479,Inundações e Chuvas
-0.4970948081993083,-0.47091296674528643,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4970851146945118,-0.4709041510024863,Seca e Estiagem
-0.4975458853716093,-0.4259290062387135,Inundações e Chuvas
-0.4970841603093804,-0.4708953348823237,Tempestades Severas
-0.4971056915063006,-0.47090776508789967,Incêndios Florestais
-0.49708800510543993,-0.4709064806469905,Seca e Estiagem
-0.4975947294461534,-0.467775887055751,Inundações e Chuvas
-0.5055534308316891,-0.4434298908778909,Inundações e Chuvas
-0.4970875093304629,-0.470905992408553,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708396930388177,-0.4709019105998411,Tempestades Severas
-0.49707149802672285,-0.4706636337948035,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Deslizamentos
-0.4970840453053118,-0.4709032833699124,Seca e Estiagem
-0.49708441335914316,-0.47090358814075484,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.49708466957771197,-0.47090376010195684,Seca e Estiagem
-0.49708463465764813,-0.4708168930035564,Inundações e Chuvas
-0.4970843168084416,-0.4709034391164578,Seca e Estiagem
-0.49708436409669,-0.470903464096196,Tempestades Severas
-0.49708438979665764,-0.47086724061394253,Tempestades Severas
-0.49708507269778823,-0.4708641674534725,Inundações e Chuvas
-0.49711008443991606,-0.4702064829836486,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.49708402646948685,-0.4709032777120203,Inundações e Chuvas
-0.4970841309342888,-0.47090198130653876,Tempestades Severas
-0.497083931182125,-0.470903218101358,Tempestades Severas
-0.4970897744020856,-0.4703172430512366,Tempestades Severas
-0.49708454585638445,-0.47090363476113867,Seca e Estiagem
-0.4970842597675614,-0.47090343842769533,Seca e Estiagem
-0.49708398967543216,-0.47090325012948264,Seca e Estiagem
-0.4971325251837636,-0.4709466899380043,Seca e Estiagem
-0.4970927057477709,-0.4709103528476363,Seca e Estiagem
-0.49708680405506783,-0.47090552270635044,Seca e Estiagem
-0.4970877424351801,-0.4705039953405847,Inundações e Chuvas
-0.49708819020678513,-0.470907026951846,Seca e Estiagem
-0.4970888315049228,-0.46963132030062754,Inundações e Chuvas
-0.4970847966290997,-0.4709038737629017,Seca e Estiagem
-0.4970878451926862,-0.4709063148249911,Seca e Estiagem
-0.4970849296260511,-0.470903913586724,Seca e Estiagem
-0.49708428295818874,-0.4708542784608892,Inundações e Chuvas
-0.49711170716577036,-0.47092721258987064,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.49708945641545954,-0.4709069219559642,Seca e Estiagem
-0.4970839729245929,-0.470903240900074,Inundações e Chuvas
-0.4972253514769145,-0.4456534195932706,Inundações e Chuvas
-0.4970871422374242,-0.4709055829063565,Seca e Estiagem
-0.4970840453482363,-0.4708992891710514,Inundações e Chuvas
-0.49710190459964926,-0.4709184185005806,Seca e Estiagem
-0.4970841995123308,-0.47090338964432843,Seca e Estiagem
-0.4970842055683041,-0.47090338970984347,Inundações e Chuvas
-0.4970853215196284,-0.4708797914449681,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970883767923337,-0.470201911175949,Inundações e Chuvas
-0.49708427934240834,-0.47090379792888915,Incêndios Florestais
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970642569527937,-0.47070054411787193,Inundações e Chuvas
-0.4970840236008117,-0.47090326891434336,Seca e Estiagem
-0.49708419149339345,-0.47090189778958097,Inundações e Chuvas
-0.497089790705421,-0.470907956466919,Seca e Estiagem
-0.49708592859286765,-0.47056888744553216,Inundações e Chuvas
-0.4970840036749244,-0.47090326629047347,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4970856528245308,-0.4706337435303259,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.49708400992483504,-0.470901934410076,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4970840072296038,-0.4709006016264657,Inundações e Chuvas
-0.4970840359358553,-0.4709032891123431,Seca e Estiagem
-0.4931997746451475,-0.46634065021412835,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.49708712301719676,-0.47090574525784096,Seca e Estiagem
-0.497099588083048,-0.4709163022586743,Seca e Estiagem
-0.4970995668950877,-0.4709156550730829,Seca e Estiagem
-0.4970849307436923,-0.4707426979701486,Inundações e Chuvas
-0.49708443590459017,-0.4709036008441714,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.49708638020190904,-0.4703467895342809,Inundações e Chuvas
-0.4970854630962103,-0.4708481706515341,Inundações e Chuvas
-0.4970840473457665,-0.47090329948552484,Seca e Estiagem
-0.4970931812070949,-0.47039071406598176,Inundações e Chuvas
-0.49709346249580816,-0.4709110230667132,Seca e Estiagem
-0.49708442519302687,-0.470902228154401,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.49708453592289115,-0.470903593340737,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.49798434215885196,-0.18461876598118554,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.49708469095650887,-0.47090374818705416,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4970886364401484,-0.47084574589820327,Inundações e Chuvas
-0.4542425115850711,-0.46995083350488165,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Tempestades Severas
-0.49708596614865763,-0.47090424327637737,Seca e Estiagem
-0.49708405299845987,-0.4709032852917619,Seca e Estiagem
-0.4972405450461851,-0.47105271730441567,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Deslizamentos
-0.4970875740622724,-0.4702567825577426,Inundações e Chuvas
-0.49708439707692176,-0.47090356863139227,Seca e Estiagem
-0.4970856164556368,-0.4709044577116818,Seca e Estiagem
-0.4970906834145517,-0.4709086850832484,Seca e Estiagem
-0.4970878417517932,-0.47025077631177586,Inundações e Chuvas
-0.4980303907386413,-0.47193030917342005,Inundações e Chuvas
-0.49709244975147043,-0.4703983171434922,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.4970854998447218,-0.4709041909676237,Seca e Estiagem
-0.4970857929400319,-0.4709046142468653,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.4970839312930498,-0.4709032180936828,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4970883516355684,-0.47090686451950114,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Deslizamentos
-0.498363069762599,-0.25627698764374673,Inundações e Chuvas
-0.4970844487843615,-0.47090231539910754,Inundações e Chuvas
-0.4971488468781511,-0.470962100799619,Seca e Estiagem
-0.4972716394617128,-0.47077202146032443,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.49708394117113114,-0.4709032244826885,Seca e Estiagem
-0.49711321865212094,-0.46820728523437405,Inundações e Chuvas
-0.49708822741003716,-0.4709068603383489,Seca e Estiagem
-0.49633486606244764,-0.4709011730234962,Incêndios Florestais
-0.4970839312930498,-0.4709032180936828,Deslizamentos
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.49708586419976475,-0.4709049179979165,Seca e Estiagem
-0.49708434875388857,-0.47090357237740016,Tempestades Severas
-0.4970862547329227,-0.47056590374806195,Inundações e Chuvas
-0.4970850392926913,-0.4708810231529783,Tempestades Severas
-0.49708431752560356,-0.47090350822313154,Seca e Estiagem
-0.49708573717327625,-0.4709046245923177,Seca e Estiagem
-0.49708519412072333,-0.4709041061307105,Inundações e Chuvas
-0.4970841274313283,-0.4709033370498593,Seca e Estiagem
-0.4970854642875204,-0.4709043447231017,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970844808515042,-0.47090360807140597,Seca e Estiagem
-0.49708432100991196,-0.4708900274995067,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.49708434646179744,-0.4708062122307665,Inundações e Chuvas
-0.49708401490801574,-0.47090326408927424,Incêndios Florestais
-0.4970843226063717,-0.47090344399432565,Seca e Estiagem
-0.4970842316859614,-0.4709034350322485,Seca e Estiagem
-0.4970841953306558,-0.4708908071663575,Inundações e Chuvas
-0.49708867457190287,-0.47090699018710636,Seca e Estiagem
-0.49708941578947435,-0.47093805479580825,Tempestades Severas
-0.49612094036577625,-0.47066537060198366,Tempestades Severas
-0.49708418801492865,-0.47090336588321846,Seca e Estiagem
-0.4970926866404253,-0.4707907886057047,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970840418231704,-0.470903209553169,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708624577432114,-0.4708936207881632,Tempestades Severas
-0.49708444110532396,-0.4709036037821344,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
1457.1586812775242,3.7759742264557463,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.49708423598942353,-0.47089698022594983,Seca e Estiagem
-0.4970866982025345,-0.47060067606080364,Inundações e Chuvas
-0.49714171870107904,-0.47097968431015835,Inundações e Chuvas
-0.4970858669825892,-0.4705956929816985,Inundações e Chuvas
-0.49810683947299045,-0.2637234256858193,Inundações e Chuvas
-0.49708393396780537,-0.47090322025210807,Tempestades Severas
-0.4970881129030717,-0.4709064206734425,Seca e Estiagem
-0.49708394849900644,-0.4709032374394379,Inundações e Chuvas
-0.4970839541471786,-0.4709032305901808,Seca e Estiagem
-0.497085137392338,-0.4706287473333455,Inundações e Chuvas
-0.49708525647468227,-0.4709042613536435,Seca e Estiagem
-0.49708912114929155,-0.470907365029284,Seca e Estiagem
-0.49708770566388755,-0.4702543082630774,Inundações e Chuvas
-0.4970867183444285,-0.47090539264060455,Seca e Estiagem
-0.49718606379927666,-0.46996907508600877,Inundações e Chuvas
-0.4970937987301417,-0.47073456781169465,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49712656873219185,-0.47017681647819887,Inundações e Chuvas
-0.49708785326984783,-0.47090610868714294,Seca e Estiagem
-0.4971260440746966,-0.4708062219432352,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.49708403456467,-0.4709006009617613,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.4970845103757823,-0.47090372303071787,Seca e Estiagem
-0.49708415056078475,-0.4709020467580441,Inundações e Chuvas
-0.49708474318896423,-0.4709036972309629,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970841661754207,-0.4709033536852948,Seca e Estiagem
-0.48848710639610327,-0.4420098569714917,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Deslizamentos
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970850369397489,-0.470840635916867,Inundações e Chuvas
-0.49708470776004204,-0.4709037441821622,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.49708399798553116,-0.47090326352166134,Seca e Estiagem
-0.49715019552168643,-0.47096340044046003,Seca e Estiagem
-0.49708826089198693,-0.47077226975332703,Tempestades Severas
-0.49708949597545976,-0.47090802905249424,Seca e Estiagem
-0.4963277398125163,-0.47089342158767084,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.49713022201793533,-0.4680345468272887,Inundações e Chuvas
-0.49711902267787345,-0.4709394413600549,Seca e Estiagem
-0.4970839520651755,-0.47090322944939755,Tempestades Severas
-0.4970865959590875,-0.4709052672884476,Seca e Estiagem
-0.49708733005725225,-0.4705058074504792,Inundações e Chuvas
-0.4963309323008593,-0.47089515015929384,Inundações e Chuvas
-0.49709397874230055,-0.4707286239012465,Tempestades Severas
-0.4971356747499069,-0.47094962431032744,Seca e Estiagem
-0.4970839898599093,-0.4709032544354602,Seca e Estiagem
-0.49708581175292776,-0.4709046487397633,Inundações e Chuvas
-0.49708425282113794,-0.4709034133225309,Seca e Estiagem
-0.4970847927443765,-0.4709038724782823,Seca e Estiagem
-0.49708495640231026,-0.4709039634103663,Seca e Estiagem
-0.4970935778353632,-0.47091110513643736,Seca e Estiagem
-0.49708467959980984,-0.47090380689467864,Seca e Estiagem
-0.4970840345602038,-0.47090328212951854,Inundações e Chuvas
-0.4970852219760604,-0.4709042050707132,Seca e Estiagem
-0.5091862831405627,-0.26367940226052416,Inundações e Chuvas
-0.4970849176012829,-0.47089207409021716,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.49708393178843424,-0.4709032181597996,Inundações e Chuvas
-0.49708411106543837,-0.47086620532464374,Inundações e Chuvas
-0.49708432123372187,-0.4708900263844774,Inundações e Chuvas
-0.49711669354170934,-0.4611652810995026,Inundações e Chuvas
-0.49718405290483686,-0.4709967772235623,Seca e Estiagem
-0.49708412188780926,-0.47089665580191786,Inundações e Chuvas
-0.497090909008123,-0.46974340987581326,Inundações e Chuvas
-0.4936299941677183,-0.4699332244444142,Inundações e Chuvas
-0.49708434735275586,-0.47090306249488006,Inundações e Chuvas
-0.4970847433657933,-0.4709038013267227,Seca e Estiagem
-0.4970845947204548,-0.4709036918204158,Seca e Estiagem
-0.4970908974760836,-0.47090893256112765,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.49708423900102244,-0.47090341169314165,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Tempestades Severas
-0.4970859046951489,-0.4709047071900959,Seca e Estiagem
-0.4970839330345661,-0.4709032190439288,Inundações e Chuvas
-0.49708457387480504,-0.4709036604616865,Seca e Estiagem
-0.4970839345706282,-0.4709032205800667,Inundações e Chuvas
-0.4971067306042361,-0.47091221962011665,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.4971138078530942,-0.46859998478628123,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708928025679017,-0.4709064924001835,Inundações e Chuvas
-0.4970853825504234,-0.47090432047906317,Seca e Estiagem
-0.497084347992989,-0.47090350441189066,Seca e Estiagem
-0.49708931201072,-0.46966358056460106,Inundações e Chuvas
-0.49708508299297516,-0.4709039257981062,Inundações e Chuvas
-0.4971868138398495,-0.47002005281903186,Inundações e Chuvas
-0.4970839319149488,-0.4709032184329833,Deslizamentos
-0.4970852068837719,-0.4709041563117399,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970845774111365,-0.4709037020744424,Seca e Estiagem
-0.49708869019697066,-0.47090703882497204,Seca e Estiagem
-0.49708456244833865,-0.47090366994210925,Seca e Estiagem
-0.49708425051568567,-0.4709034483727054,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.497084587958235,-0.47090368351670786,Seca e Estiagem
-0.4970846911113049,-0.4709037689904976,Incêndios Florestais
-0.4970850998285521,-0.4709041036542738,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708393272451085,-0.4709032192237477,Incêndios Florestais
-0.49708395873965355,-0.47090323526548766,Tempestades Severas
-0.49708395840798153,-0.4709032350845423,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708886205317043,-0.47082162495758506,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.497084122143194,-0.4709033498703281,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708461075393584,-0.47090373622698367,Seca e Estiagem
-0.4970843150150636,-0.47089002290178944,Tempestades Severas
-0.49708668990429417,-0.4706526872468432,Inundações e Chuvas
-0.4971300631119896,-0.4696457876476276,Tempestades Severas
-0.49709471754956586,-0.47091241321421,Seca e Estiagem
-0.4971302067771331,-0.4590535542861977,Inundações e Chuvas
-0.4970855871648572,-0.47063210949770745,Inundações e Chuvas
-0.497084471749209,-0.4709036605273561,Tempestades Severas
-0.4970839913903085,-0.47090208493338676,Deslizamentos
-0.49708547877338705,-0.4708977277649093,Inundações e Chuvas
-0.4970867062291027,-0.47075488075570016,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4972766624149801,-0.420554282247026,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708714320236785,-0.47089568286889255,Seca e Estiagem
-0.49708396398603527,-0.4709032359875157,Seca e Estiagem
-0.4970840774057352,-0.47090333194993045,Seca e Estiagem
-0.4970842029365632,-0.47090337187900294,Seca e Estiagem
-0.49708397128044657,-0.4709032417673473,Seca e Estiagem
-0.4976237924227589,-0.47144749545097575,Seca e Estiagem
-0.49708423661401185,-0.4709034296353919,Seca e Estiagem
-0.4970874275810971,-0.47070528165939146,Inundações e Chuvas
-0.4970847517703627,-0.4709037027104898,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708395296191954,-0.4708987169175735,Inundações e Chuvas
-0.4970840072296038,-0.4709006016264657,Tempestades Severas
-0.4970840360333854,-0.4709032758292837,Seca e Estiagem
-0.49708513466517124,-0.47086980727568306,Inundações e Chuvas
-0.497084122143194,-0.4709033498703281,Seca e Estiagem
-0.49709433229576505,-0.47091198930533756,Seca e Estiagem
-0.49708597943459676,-0.4707583267429524,Inundações e Chuvas
-0.49708417472052496,-0.47090339086708527,Seca e Estiagem
-0.4971476128648007,-0.4677362287470387,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839693771377,-0.4709019113570608,Tempestades Severas
-0.49708427926435406,-0.47090346943490186,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
