PCA1,PCA2,Macro_Desastre
-0.014011895262904962,-0.01330352349271224,Inundações e Chuvas
-0.008728665392349344,-0.012704010769785936,Inundações e Chuvas
-0.014639390689790545,-0.009184619753549512,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.014631923606896165,-0.007001356794198467,Seca e Estiagem
0.0293926850511418,-0.015001294749208588,Inundações e Chuvas
-0.012027163491490087,-0.013095318165133459,Tempestades Severas
-0.0095883344778121,-0.0125928726452741,Incêndios Florestais
-0.014903999679731751,-0.004558600910042234,Seca e Estiagem
0.18743359231694598,0.0034362305895310266,Inundações e Chuvas
0.2903245835101785,0.03907226502664593,Inundações e Chuvas
-0.015802273394051467,0.006551072183128094,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.013730503438244319,-0.013269470872068935,Tempestades Severas
0.004776198066818503,-0.011730477449519647,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Deslizamentos
-0.014067471503203111,-0.013299508776108183,Seca e Estiagem
-0.014073307028523305,-0.013299178685594132,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.014216875455574627,-0.011688841438638653,Seca e Estiagem
-0.013956298752198825,-0.013296794988758598,Inundações e Chuvas
-0.014057886304976779,-0.013287623521914031,Seca e Estiagem
-0.014055553353000252,-0.013285045447076286,Tempestades Severas
-0.0053800697264372414,-0.001717909337252431,Tempestades Severas
-0.004191761701272237,-0.012294197032422807,Inundações e Chuvas
0.04997907981942324,-0.009090240792209612,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.013900488693428078,-0.013286916598765913,Inundações e Chuvas
-0.013672253354228376,-0.013265633908541833,Tempestades Severas
-0.014071165008793789,-0.013304305911661764,Tempestades Severas
-0.0034760831657711586,-0.01222637379457798,Tempestades Severas
-0.014138185500148531,-0.012433820916750448,Seca e Estiagem
-0.014119911654800817,-0.012701336379960824,Seca e Estiagem
-0.014068993430254733,-0.013301609769161409,Seca e Estiagem
-0.031463342926572206,0.18418303411155432,Seca e Estiagem
-0.01665271514289595,0.01509054990675059,Seca e Estiagem
-0.014715241852157486,-0.0065895576750004,Seca e Estiagem
-0.010046563891589573,-0.0129497825678782,Inundações e Chuvas
-0.013511835765402458,-0.012645772534543138,Seca e Estiagem
-0.013163375872079107,-0.01328390966897628,Inundações e Chuvas
-0.014420788536247713,-0.009333127721166911,Seca e Estiagem
-0.01609505629491494,0.009787993941714923,Seca e Estiagem
-0.014358084943483897,-0.009859277509994794,Seca e Estiagem
-0.014005248343206645,-0.013302461065524188,Inundações e Chuvas
-0.0256496710968674,0.11822304593329017,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.01569934037841501,0.008372890440821863,Seca e Estiagem
-0.014069618550127033,-0.013302380202746765,Inundações e Chuvas
0.09383182678059042,-0.004108523050689294,Inundações e Chuvas
-0.014448691183428548,-0.009088653561259766,Seca e Estiagem
-0.013049172420648937,-0.013199812225921804,Inundações e Chuvas
-0.02230520613528132,0.08016334664570224,Seca e Estiagem
-0.014066158639813383,-0.013296107423182952,Seca e Estiagem
-0.013583477106267996,-0.013254607981424586,Inundações e Chuvas
-0.013436472581286836,-0.013315225323508163,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
0.0008173901776762343,-0.011826955779902882,Inundações e Chuvas
-0.01303179092640129,-0.013179845827821965,Incêndios Florestais
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.001031610400882935,-0.012139733185451813,Inundações e Chuvas
-0.014067733813712045,-0.013300057345486921,Seca e Estiagem
-0.013127752695460767,-0.013210231426759249,Inundações e Chuvas
-0.017115044462612857,0.021267331864750695,Seca e Estiagem
-0.012078723593317913,-0.012526397336235695,Inundações e Chuvas
-0.014080495840330453,-0.013187245999530738,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.011886341125906932,-0.013097896711323918,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.013657339710974485,-0.013262021478639254,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.013389842063701887,-0.01323464357951792,Inundações e Chuvas
-0.014095746942360226,-0.013004530281453493,Seca e Estiagem
0.1647937427124302,0.025919435197865895,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.015611251070229846,0.004107174650789337,Seca e Estiagem
-0.021352038701087206,0.06950235570090571,Seca e Estiagem
-0.018049240081636442,0.03386086812942969,Seca e Estiagem
-0.013679284359740739,-0.01327463535075373,Inundações e Chuvas
-0.014072484995891229,-0.01329816556542939,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.013408466118446965,-0.013274607416518586,Inundações e Chuvas
-0.01320106087101315,-0.011405492451023071,Inundações e Chuvas
-0.01411112598753397,-0.012830785250374304,Seca e Estiagem
-0.0073359021203956935,-0.012052984976252516,Inundações e Chuvas
-0.01877193910575651,0.04009757335829629,Seca e Estiagem
-0.012687692592239086,-0.01314618066533163,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.014099992635347952,-0.012789113238244002,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
0.01335335926129102,-0.011862605107984217,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.014063437948539346,-0.013287015465365346,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
0.020025855357664893,-0.010934674935213115,Inundações e Chuvas
0.31977010186234234,0.019015001290241695,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Tempestades Severas
-0.014237459233328463,-0.009183230293109839,Seca e Estiagem
-0.014066649230733603,-0.013298720643216331,Seca e Estiagem
-0.04398068359757895,0.322671488915924,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Deslizamentos
-0.012199492924323116,-0.012856781422485489,Inundações e Chuvas
-0.014224614274926084,-0.011583304462909505,Seca e Estiagem
-0.014576889393576523,-0.007483424769343633,Seca e Estiagem
-0.017533566281778334,0.026066937408709842,Seca e Estiagem
-0.013446544201552365,-0.013059877351276705,Inundações e Chuvas
-0.0015948590501166648,-0.012366677387644236,Inundações e Chuvas
-0.012758638072421976,-0.010349786666002087,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.014020191884623842,-0.013241463945236743,Seca e Estiagem
-0.014804133335297434,-0.004893565142139754,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.014071181349807787,-0.01330430628671015,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.014884919189835923,-0.005061833507110565,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Deslizamentos
0.032842674131114455,-0.015195142805494373,Inundações e Chuvas
-0.013398110386401955,-0.01326677495982517,Inundações e Chuvas
-0.03459492301775806,0.2191231832410432,Seca e Estiagem
0.08164578709989571,-0.0034060460182050046,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.01407103010832781,-0.013304028599366746,Seca e Estiagem
-0.01771971265927271,0.06523859618829064,Inundações e Chuvas
-0.014319928035754197,-0.01175798413702335,Seca e Estiagem
-0.013857247444271624,-0.013290066710517412,Incêndios Florestais
-0.014071181349807787,-0.01330430628671015,Deslizamentos
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.01408999684806113,-0.013299211257826148,Seca e Estiagem
-0.013272924912477032,-0.013222801974018558,Tempestades Severas
-0.013698267877400935,-0.013290720391053357,Inundações e Chuvas
-0.007446684667404958,-0.012626748839955702,Tempestades Severas
-0.01422621559470146,-0.011524300937870298,Seca e Estiagem
-0.01491826969343512,-0.0036962846576189274,Seca e Estiagem
-0.011809845000650954,-0.013073747505925092,Inundações e Chuvas
-0.014064204753818773,-0.013293495113385559,Seca e Estiagem
-0.0144360054072791,-0.009161325157351078,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.01423564047126705,-0.011376686927009315,Seca e Estiagem
-0.010664358551093569,-0.012955989520029517,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.013958123515916118,-0.013302084426354013,Inundações e Chuvas
-0.014068055750446281,-0.013300454118783377,Incêndios Florestais
-0.014058042156213786,-0.013287661883475415,Seca e Estiagem
-0.014146408550886178,-0.012449001030016381,Seca e Estiagem
-0.01393338383424891,-0.01328812313387524,Inundações e Chuvas
-0.015910974526582605,0.008109892104310772,Seca e Estiagem
0.01558835995275844,-0.002615826958434207,Tempestades Severas
0.04025283350973238,0.008463738947843795,Tempestades Severas
-0.014064569716934532,-0.013272110589413208,Seca e Estiagem
0.023257337283947938,-0.010610692341849463,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.01403637972819517,-0.013276923844405337,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.01050881320142159,-0.013023229455164096,Tempestades Severas
-0.014072295897129857,-0.013297932509269821,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
0.02953112932377068,-0.01196827940273663,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.013996647916248049,-0.013276780145362765,Seca e Estiagem
-0.012273269177567882,-0.013146333677178377,Inundações e Chuvas
0.020230070573048896,-0.007492594517605752,Inundações e Chuvas
-0.011987677988744104,-0.012933102580214682,Inundações e Chuvas
0.23685685031680187,0.008972108486568244,Inundações e Chuvas
-0.014067718409943874,-0.013303861686928835,Tempestades Severas
-0.015394246731192501,0.001617151036603563,Seca e Estiagem
-0.014070438840731992,-0.013304546601289052,Inundações e Chuvas
-0.014070321809983372,-0.013303246940530289,Seca e Estiagem
-0.013745095704295813,-0.013293408504427959,Inundações e Chuvas
-0.014798278723513395,-0.005024545916973783,Seca e Estiagem
-0.01660544909494812,0.015428617033182903,Seca e Estiagem
-0.013467592669876691,-0.013302864482899232,Inundações e Chuvas
-0.0151349846402341,-0.0014063621921863497,Seca e Estiagem
0.05869936334028098,-0.005556483269741824,Inundações e Chuvas
-0.01166210569404838,-0.01303269783076168,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
0.07376771382002523,-0.006362023612201609,Inundações e Chuvas
-0.014472156708916084,-0.008745061195995805,Seca e Estiagem
0.012399263250439259,-0.005355726302114122,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.013340944160528763,-0.01322966987531879,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.01353547124449811,-0.013222433026417048,Seca e Estiagem
-0.013996119669603835,-0.013297681859440027,Inundações e Chuvas
-0.014048864708315286,-0.01320906982386584,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014063580220214807,-0.013294495509511534,Seca e Estiagem
0.49551273576496735,0.036097500276943535,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Deslizamentos
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.013713855328033842,-0.01269561998447201,Inundações e Chuvas
-0.014118792981208814,-0.012562993577959274,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.014084860566462366,-0.013139567051148009,Seca e Estiagem
-0.034577019471539856,0.21849349579337365,Seca e Estiagem
0.016347696242155325,-0.0072768044414929615,Tempestades Severas
-0.014572926585532513,-0.009159824761546406,Seca e Estiagem
-0.010570793591945269,-0.012956232746342347,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
0.026091656693050413,-0.008570879915525242,Inundações e Chuvas
-0.015329354454956489,-0.0007110229306072791,Seca e Estiagem
-0.014070399949967411,-0.013303343244728457,Tempestades Severas
-0.015265207264860081,0.0003304582681223026,Seca e Estiagem
-0.014366857538565493,-0.004556587300340829,Inundações e Chuvas
-0.012501793480364636,-0.013170052957205466,Inundações e Chuvas
0.02427139159232229,0.019830192834648437,Tempestades Severas
-0.03218702993336729,0.1925124637760265,Seca e Estiagem
-0.014075073266191908,-0.01324352461596719,Seca e Estiagem
-0.010609895995455955,-0.012935840642504328,Inundações e Chuvas
-0.014088233254640049,-0.013001315950904386,Seca e Estiagem
-0.014472064402748308,-0.008710331146776,Seca e Estiagem
-0.014206899616576096,-0.011585668567944764,Seca e Estiagem
-0.018750985062494927,0.03982536924983732,Seca e Estiagem
-0.014401930591834469,-0.009615401877421534,Seca e Estiagem
-0.013900183947490331,-0.013286541012393053,Inundações e Chuvas
-0.014609716964058354,-0.007199208151769889,Seca e Estiagem
0.15866850680086855,0.012752456647524217,Inundações e Chuvas
-0.013937896285454561,-0.013266506953480129,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.014071069682659853,-0.013304304855502666,Inundações e Chuvas
-0.014025143289246847,-0.013302549373576689,Inundações e Chuvas
-0.010664250499326174,-0.01295570383815449,Inundações e Chuvas
-0.011140951318771115,-0.013236158208567002,Inundações e Chuvas
-0.04156092192509155,0.2986827950070813,Seca e Estiagem
-0.012367833134543036,-0.013130149518729574,Inundações e Chuvas
-0.01244734600113304,-0.013230397982410705,Inundações e Chuvas
