T-SNE1,T-SNE2,Macro_Desastre
26.9973,24.672924,Inundações e Chuvas
20.424044,-26.491697,Deslizamentos
-10.658791,-3.6074138,Seca e Estiagem
-23.880314,45.619537,Seca e Estiagem
20.174171,-26.426054,Incêndios Florestais
-37.025513,6.1076717,Seca e Estiagem
5.7256317,4.8097835,Inundações e Chuvas
-19.555134,20.633368,Seca e Estiagem
-21.259808,22.649927,Tempestades Severas
35.83694,23.968374,Tempestades Severas
45.66618,15.224302,Inundações e Chuvas
41.843918,35.862206,Inundações e Chuvas
21.992851,-26.848976,Seca e Estiagem
37.705215,-6.8155413,Inundações e Chuvas
30.008204,-6.2694116,Tempestades Severas
13.614333,-23.236979,Tempestades Severas
36.08265,22.567175,Tempestades Severas
-23.954556,13.157843,Seca e Estiagem
-18.795315,5.3645387,Seca e Estiagem
-8.047467,-10.909669,Seca e Estiagem
-49.020687,-34.708992,Seca e Estiagem
-57.804333,-0.9639094,Seca e Estiagem
-56.15271,3.9219964,Seca e Estiagem
30.156052,5.111326,Inundações e Chuvas
-4.3053036,18.694069,Seca e Estiagem
13.188646,15.084685,Inundações e Chuvas
-30.340809,-0.2670182,Seca e Estiagem
-46.402473,-11.749307,Seca e Estiagem
-30.929636,9.33292,Seca e Estiagem
6.7383657,3.4995973,Inundações e Chuvas
-51.28037,-31.520388,Seca e Estiagem
17.51237,-25.786331,Seca e Estiagem
-49.26256,-8.79513,Seca e Estiagem
-7.551292,-13.234087,Inundações e Chuvas
7.2746787,20.801342,Inundações e Chuvas
-53.04182,3.1762784,Seca e Estiagem
51.2006,3.6089888,Inundações e Chuvas
-53.341038,-27.521202,Seca e Estiagem
-22.987837,11.40488,Seca e Estiagem
37.18872,-4.092139,Inundações e Chuvas
17.039085,-0.79021126,Seca e Estiagem
16.146599,-27.881935,Inundações e Chuvas
43.335247,16.37773,Inundações e Chuvas
-3.446648,-14.342986,Incêndios Florestais
17.955088,-27.078043,Inundações e Chuvas
27.951263,22.934052,Inundações e Chuvas
-9.657778,-5.159886,Seca e Estiagem
29.135935,0.6691432,Inundações e Chuvas
-51.285652,-14.312582,Seca e Estiagem
13.625795,9.108437,Inundações e Chuvas
-10.6418915,-14.694112,Seca e Estiagem
18.97666,-26.62439,Seca e Estiagem
17.565054,7.0890665,Inundações e Chuvas
19.938223,-26.489082,Tempestades Severas
18.331997,-26.25889,Incêndios Florestais
48.49743,-4.5778966,Tempestades Severas
17.7322,-26.513422,Seca e Estiagem
51.934494,0.8396877,Inundações e Chuvas
-11.917068,-13.203218,Seca e Estiagem
38.827774,37.33268,Inundações e Chuvas
20.32047,-26.414656,Seca e Estiagem
-45.168056,-8.82368,Seca e Estiagem
-53.528927,-26.156849,Seca e Estiagem
-42.73485,26.81863,Seca e Estiagem
17.376684,5.5940886,Inundações e Chuvas
-23.02651,44.925385,Seca e Estiagem
19.294943,-26.144196,Incêndios Florestais
13.5807495,11.906881,Inundações e Chuvas
23.007952,1.7744721,Inundações e Chuvas
