NCA1,NCA2,Macro_Desastre
2982459.830732806,532027.5848275372,Inundações e Chuvas
-451384.1903422199,-149246.34673517945,Seca e Estiagem
1258584.1714527162,-539754.8867035648,Inundações e Chuvas
-152695.33727205978,8736.422638232845,Seca e Estiagem
-53603.91735333235,30411.47203536526,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Incêndios Florestais
184720.04096871224,30994.030529206728,Inundações e Chuvas
-110782.50870228176,34267.94644663309,Inundações e Chuvas
-196419.62192117187,119412.38880277646,Seca e Estiagem
-116157.27702130335,239231.3241779948,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-124770.8773401888,16631.424196220447,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128258.70406234224,13046.217985271896,Tempestades Severas
-66249.11082544115,1520958.2690863286,Inundações e Chuvas
-126389.38061304908,12916.252579425585,Deslizamentos
-120644.8907807136,11290.637418434497,Inundações e Chuvas
-110101.3486932516,113614.93646142904,Inundações e Chuvas
-400739.09972285613,-48755.07319327115,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Seca e Estiagem
-128253.59950405508,13046.842531782673,Incêndios Florestais
-128253.59950405508,13046.842531782673,Seca e Estiagem
-159937.54872690956,-429.11920624308397,Seca e Estiagem
1895662.7059473826,-504046.8413860655,Inundações e Chuvas
-117068.28615801911,12263.302817640151,Tempestades Severas
-8546.997651958502,-48086.75006750163,Incêndios Florestais
-257577.16887728512,-23139.954958704006,Seca e Estiagem
2485682.674229611,438503.86373289034,Inundações e Chuvas
5169583.990177894,-1043228.2659147398,Inundações e Chuvas
-212253.082382297,-24829.134888787277,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-126392.2690374376,12916.048909736079,Tempestades Severas
326912.3080203956,74509.04707580719,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Deslizamentos
-131800.9922488929,12534.622642403738,Seca e Estiagem
-144332.83490277763,8390.47692079397,Seca e Estiagem
-128253.59950405508,13046.842531782673,Incêndios Florestais
-152931.89257872404,6306.712854904902,Seca e Estiagem
-119595.14892476071,18220.337177367634,Inundações e Chuvas
-139793.35018617904,11531.79369454667,Seca e Estiagem
-141014.99522192546,11485.476254843556,Tempestades Severas
-84771.22249997774,22657.510071932375,Tempestades Severas
-74191.25166488111,9259.733913427153,Inundações e Chuvas
764872.9692170876,39790.69045909436,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Seca e Estiagem
-123513.80509689431,12186.141200757103,Inundações e Chuvas
-118683.82625940673,7561.250717853208,Tempestades Severas
