T-SNE1,T-SNE2,Macro_Desastre
26.677128,24.90184,Inundações e Chuvas
22.062128,-24.475996,Deslizamentos
-9.630496,-5.7689567,Seca e Estiagem
-23.458403,43.83803,Seca e Estiagem
21.366861,-25.00256,Incêndios Florestais
-33.024044,3.4637365,Seca e Estiagem
4.53749,5.350289,Inundações e Chuvas
-17.718994,18.673311,Seca e Estiagem
-19.385357,20.716307,Tempestades Severas
34.831562,23.230425,Tempestades Severas
44.066807,14.954383,Inundações e Chuvas
40.580776,35.355785,Inundações e Chuvas
23.05003,-25.406467,Seca e Estiagem
37.27624,-6.108901,Inundações e Chuvas
29.70337,-5.9056473,Tempestades Severas
17.096788,-20.356861,Tempestades Severas
35.131058,21.84033,Tempestades Severas
-21.980171,11.2223,Seca e Estiagem
-17.378279,3.5980315,Seca e Estiagem
-7.3335795,-13.0179,Seca e Estiagem
-66.66206,-25.743967,Seca e Estiagem
-54.32608,0.77844924,Seca e Estiagem
-51.718426,5.6439543,Seca e Estiagem
29.11205,4.889965,Inundações e Chuvas
-4.8222995,19.323853,Seca e Estiagem
11.968297,15.510771,Inundações e Chuvas
-28.938004,-3.605067,Seca e Estiagem
-46.033157,-10.870507,Seca e Estiagem
-29.26796,9.518727,Seca e Estiagem
5.5393224,4.074126,Inundações e Chuvas
-65.38017,-22.113363,Seca e Estiagem
18.696566,-24.603579,Seca e Estiagem
-47.58331,-7.2560854,Seca e Estiagem
-6.9353886,-15.291705,Inundações e Chuvas
6.697001,21.527117,Inundações e Chuvas
-48.87907,4.3322496,Seca e Estiagem
50.314934,3.8596756,Inundações e Chuvas
-63.277,-18.195553,Seca e Estiagem
-21.095856,9.444359,Seca e Estiagem
36.858704,-3.3845282,Inundações e Chuvas
16.688272,0.3126832,Seca e Estiagem
17.183268,-27.197756,Inundações e Chuvas
41.758564,16.129066,Inundações e Chuvas
-2.9854014,-16.45438,Incêndios Florestais
19.03604,-25.821157,Inundações e Chuvas
27.540281,23.127157,Inundações e Chuvas
-8.7205925,-7.335159,Seca e Estiagem
28.122683,0.51934135,Inundações e Chuvas
-52.4403,-10.6287565,Seca e Estiagem
11.864246,9.543539,Inundações e Chuvas
-10.002361,-16.689486,Seca e Estiagem
19.914104,-25.281921,Seca e Estiagem
16.062618,8.416582,Inundações e Chuvas
21.491104,-25.028164,Tempestades Severas
19.348415,-25.569754,Incêndios Florestais
48.357227,-4.0994244,Tempestades Severas
19.307362,-25.625917,Seca e Estiagem
