LLE1,LLE2,Macro_Desastre
0.01373786197173993,-0.012269632576893424,Inundações e Chuvas
0.006225383005853606,-0.021427267035958864,Inundações e Chuvas
0.012315391850622252,-0.01181644349709535,Seca e Estiagem
0.012315065863095002,-0.011816017518440847,Seca e Estiagem
0.012314873768806968,-0.011816089681831675,Inundações e Chuvas
0.012315076057336559,-0.011816230144575878,Seca e Estiagem
0.012315006803404102,-0.01181614701801634,Seca e Estiagem
0.01231507442325889,-0.011816085820910573,Seca e Estiagem
0.01231482994088182,-0.01181601945799229,Seca e Estiagem
0.012315086351010331,-0.011816080918541099,Seca e Estiagem
0.012314889485942752,-0.0118161878150933,Seca e Estiagem
-0.009518027566315533,-0.003197268286656999,Inundações e Chuvas
0.012315084214312379,-0.01181624837236463,Seca e Estiagem
0.012315334313214046,-0.011816223394625909,Seca e Estiagem
0.01231512465510589,-0.011816325861403664,Seca e Estiagem
0.012314897538284554,-0.011816130043536634,Seca e Estiagem
0.013613167347415455,-0.01132037847611329,Tempestades Severas
0.012314829940780411,-0.011816019458288576,Incêndios Florestais
0.012316029818479542,-0.011817386554328896,Seca e Estiagem
0.012315310426627436,-0.011816266977540183,Seca e Estiagem
0.012314829940869248,-0.01181601945797876,Inundações e Chuvas
0.012315051745753551,-0.011816117343961857,Tempestades Severas
0.010726441013017231,-0.012422760763766314,Inundações e Chuvas
0.012314829940870764,-0.011816019457983733,Tempestades Severas
0.012314894602142851,-0.011816025543599548,Tempestades Severas
0.012315028140616842,-0.01181614549970965,Seca e Estiagem
0.012315324390058889,-0.011816374673160912,Seca e Estiagem
0.012314967601989605,-0.011816003233891401,Seca e Estiagem
0.012314933889057716,-0.011816104364878953,Seca e Estiagem
0.011715860397410892,-0.013961618232952075,Inundações e Chuvas
0.013038989206311047,-0.010592484937904056,Inundações e Chuvas
0.012315045884166646,-0.011816017423592352,Seca e Estiagem
0.012315081807346237,-0.011816073893928178,Seca e Estiagem
0.01255571099787787,-0.012181727065246345,Inundações e Chuvas
0.012002178387519482,-0.012236347119565323,Seca e Estiagem
0.0095981961983115,-0.014551375688928319,Tempestades Severas
0.01231482994085791,-0.011816019458050058,Seca e Estiagem
0.004801483598212516,-0.019391543064073764,Tempestades Severas
0.01206334359568376,-0.011847785378736394,Inundações e Chuvas
0.012153507143137027,-0.012045711502788022,Seca e Estiagem
0.0037347116752706106,-0.021211618224463324,Inundações e Chuvas
-0.05923135426542649,-0.0975652567271563,Seca e Estiagem
0.011004632555850895,-0.012154454289604967,Inundações e Chuvas
0.012314981256263565,-0.011816211757897568,Seca e Estiagem
0.012311867320925844,-0.011816288604899078,Inundações e Chuvas
0.012314914058679,-0.011816109278818822,Seca e Estiagem
0.01244077036020059,-0.011669222965081692,Tempestades Severas
0.0026739308965531426,-0.030260496907040642,Inundações e Chuvas
0.011440345168625661,-0.011230196608700446,Seca e Estiagem
0.01231499776793247,-0.011816222995622835,Seca e Estiagem
0.01231482994085193,-0.01181601945799582,Tempestades Severas
0.012311885711197495,-0.01181628550523234,Inundações e Chuvas
0.011691592609076684,-0.011660968094856094,Inundações e Chuvas
0.011588097610966595,-0.012731365648404446,Tempestades Severas
0.012314980148876198,-0.011816133286877367,Seca e Estiagem
0.012315402554860399,-0.011816489984137634,Seca e Estiagem
