KPCA1,KPCA2,Macro_Desastre
-0.28863105881292794,-0.0006870773078369515,Inundações e Chuvas
1.1323850676364031,-0.13574061762838793,Inundações e Chuvas
-0.4247013295873102,-0.023416905721753152,Seca e Estiagem
-0.41575559768322895,-0.02041779395782904,Seca e Estiagem
-0.4158522205182841,-0.020316426593459745,Inundações e Chuvas
-0.4160176527465942,-0.02168516235548822,Seca e Estiagem
-0.4133894290997336,-0.020546470381556485,Seca e Estiagem
-0.4152624119089748,-0.02054434079398391,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Seca e Estiagem
-0.4148068758631566,-0.020416095589096576,Seca e Estiagem
-0.4157587999011132,-0.020430842169696317,Seca e Estiagem
4.400337178615184,-0.05671513024585185,Inundações e Chuvas
-0.4293137286279843,-0.02555040980046981,Seca e Estiagem
-0.4185827662560012,-0.02124886485759111,Seca e Estiagem
-0.4178448563425977,-0.02298595373358877,Seca e Estiagem
-0.4156030042839141,-0.020808933986506496,Seca e Estiagem
-0.18235080687567545,-0.03859890846696822,Tempestades Severas
-0.4158595539428554,-0.020315104340633168,Incêndios Florestais
-0.43439179320452076,-0.022238587130711578,Seca e Estiagem
-0.4197761931299157,-0.02181232882339151,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.41401260890257935,-0.020486963667149072,Tempestades Severas
-0.26863719432480704,-0.0923747661460415,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Tempestades Severas
-0.41584387022031366,-0.0203165637202762,Tempestades Severas
-0.41561531774402233,-0.02101392425786538,Seca e Estiagem
-0.4219188534119882,-0.022537122462916833,Seca e Estiagem
-0.4158847194996816,-0.020377829976304017,Seca e Estiagem
-0.4150773382065976,-0.020476245508426694,Seca e Estiagem
0.06665959073117948,0.058472202756888546,Inundações e Chuvas
-0.4103418091299671,-0.019676911268896452,Inundações e Chuvas
-0.4156918177800543,-0.02040411868186713,Seca e Estiagem
-0.41492087778798986,-0.02040592565317614,Seca e Estiagem
-0.27046940829600796,-0.012873060479501756,Inundações e Chuvas
-0.38902738223747374,-0.015370200671675681,Seca e Estiagem
-0.042957346815968314,-0.05097180725972284,Tempestades Severas
-0.4158595539428554,-0.020315104340633168,Seca e Estiagem
0.2198814968913844,-0.08237216043451401,Tempestades Severas
-0.05520176642417815,-0.20468627750242,Inundações e Chuvas
-0.38251587586310404,-0.02016550901062211,Seca e Estiagem
1.395089739852699,-0.07271053749205436,Inundações e Chuvas
7.3220191391249605,-3.4824831493462005,Seca e Estiagem
-0.36468969553348796,-0.04210387152548209,Inundações e Chuvas
-0.41645186669675655,-0.021826012608329816,Seca e Estiagem
-0.38608073259847037,-0.03701202558609579,Inundações e Chuvas
-0.41580274515201476,-0.020613457652741154,Seca e Estiagem
-0.4132265171303492,-0.02003933887594481,Tempestades Severas
1.7772812420356214,-0.25364096211041187,Inundações e Chuvas
-0.36511669675882624,-0.04406146980170931,Seca e Estiagem
-0.44413387036308516,-0.031827470290143524,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Tempestades Severas
-0.3902081668304408,-0.03247510185658326,Inundações e Chuvas
0.2200535005218253,-0.27723575062811784,Inundações e Chuvas
0.23418860421040955,0.052246352550650514,Tempestades Severas
-0.41647680049652974,-0.02112599365590672,Seca e Estiagem
-0.4303231241431535,-0.025723685049733838,Seca e Estiagem
-0.43307629130330316,-0.02668211464359015,Seca e Estiagem
0.2504468867161712,-0.3859563719181083,Inundações e Chuvas
0.22220521056425177,-0.003168445413571303,Seca e Estiagem
8.855144328588572,-1.0797043227434988,Inundações e Chuvas
-0.4221334339352536,-0.022596676380183218,Seca e Estiagem
-0.41441178770378695,-0.02265407431184176,Seca e Estiagem
-0.41144867747508707,-0.022157721520232154,Seca e Estiagem
-0.16368243617818976,-0.0295481098264191,Incêndios Florestais
-0.4048561944234857,-0.02372398278242087,Incêndios Florestais
-0.4158595539428554,-0.020315104340633168,Tempestades Severas
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.4040751166004767,-0.020586516865899438,Inundações e Chuvas
-0.4131080149609826,-0.01999468555193803,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.41204254642371624,-0.02104176895732008,Seca e Estiagem
-0.41312087724949004,-0.02056993982398679,Seca e Estiagem
-0.43594425147277904,-0.03125390215330587,Seca e Estiagem
-0.4164008008884097,-0.020591986343792428,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.4099815117954405,-0.021075727278580217,Incêndios Florestais
-0.414758145076474,-0.020419110551770356,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.4158570644630864,-0.020315335988195505,Seca e Estiagem
0.06807593140504983,-0.07166063002136547,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.29289050002700406,-0.042691606361788356,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.2754869994172407,-0.06126242987730599,Inundações e Chuvas
-0.3899160054553197,-0.02120109048129334,Inundações e Chuvas
-0.3557325068713073,-0.021123175750215384,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.42288747681052224,-0.022622283437064666,Seca e Estiagem
-0.40029782490507737,-0.020845902673333336,Inundações e Chuvas
-0.4157350799544288,-0.020326686718751565,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Deslizamentos
-0.4446145335501351,-0.031147913768080165,Seca e Estiagem
-0.048727410629849956,-0.21782273662340249,Inundações e Chuvas
0.2618154499626112,-0.32338571799597554,Inundações e Chuvas
-0.41496041374809317,-0.020403328264047622,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.36992100700424085,-0.01788804673774592,Inundações e Chuvas
-0.41554577777383295,-0.020545400819629286,Seca e Estiagem
-0.6620231360234867,-0.1130258517696357,Seca e Estiagem
-0.41593913489219864,-0.020373441879715664,Inundações e Chuvas
-0.41613969030569864,-0.020395400092655086,Seca e Estiagem
-0.16037310966996773,-0.12509586282697882,Inundações e Chuvas
-0.41555126349576005,-0.02034571056878487,Inundações e Chuvas
-0.41383563683985264,-0.02050571022077743,Seca e Estiagem
-0.4174425825273415,-0.021049789753748882,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.4168832979125604,-0.020326206965777936,Seca e Estiagem
-0.5036265723525372,-0.052165176775611694,Seca e Estiagem
0.13777545169232913,-0.014551702189609762,Tempestades Severas
-0.4145700572407097,-0.020527087402752334,Seca e Estiagem
-0.31201757532419805,-0.07119305208955702,Inundações e Chuvas
6.6649669166048255,1.0370752678241995,Inundações e Chuvas
5.146150607135914,-0.4825888452691936,Inundações e Chuvas
-0.4467955334728799,-0.03228610397483159,Seca e Estiagem
1.5810247599184748,-0.5500940418213303,Inundações e Chuvas
-0.41250760113127494,-0.0207972570104303,Seca e Estiagem
-0.2925199064586288,-0.04409594197150437,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Incêndios Florestais
0.10451245261593047,-0.11550120466369022,Inundações e Chuvas
-0.3193562508523546,-0.005336765596122129,Inundações e Chuvas
-0.3744876706934978,-0.032739959332767535,Seca e Estiagem
1.130436493144153,0.19809827341342653,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.38379101103304936,-0.03362647781561353,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.4158585581509483,-0.020315196999658048,Tempestades Severas
4.7772879235703405,0.5123704960735406,Inundações e Chuvas
-0.4131080149609826,-0.01999468555193803,Deslizamentos
-0.40632909799937056,-0.025369092239409804,Inundações e Chuvas
-0.25762887798013845,-0.07185538044030478,Inundações e Chuvas
-0.4379853020326136,-0.02743838349165911,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Incêndios Florestais
-0.4158595539428554,-0.020315104340633168,Seca e Estiagem
-0.4187049828960993,-0.021370646995013304,Seca e Estiagem
2.7701689416829094,-0.8644807643357265,Inundações e Chuvas
-0.39935032005161775,-0.01839259160846374,Tempestades Severas
0.11866978128648001,-0.12510538633450688,Incêndios Florestais
-0.4249475253354989,-0.023899408934999058,Seca e Estiagem
5.225594819164232,-0.0709671551893956,Inundações e Chuvas
10.107971730232512,1.7083097543601045,Inundações e Chuvas
-0.42060508014774217,-0.02320602238338561,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Inundações e Chuvas
-0.4131068327026077,-0.019994531301661646,Tempestades Severas
0.263733841253586,-0.05482176415135011,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Deslizamentos
-0.41526197395583364,-0.020373802373768964,Seca e Estiagem
-0.4159706546294151,-0.020411128962139126,Seca e Estiagem
-0.4158595539428554,-0.020315104340633168,Incêndios Florestais
-0.416515762701368,-0.020926314219299868,Seca e Estiagem
-0.3959681517993121,-0.028360790364509905,Inundações e Chuvas
-0.41373297714624246,-0.020517063614237836,Seca e Estiagem
-0.41337007417432076,-0.020546751902994168,Tempestades Severas
-0.23133478810142588,-0.0028878621541680253,Tempestades Severas
-0.33606492346853895,-0.011022959468479207,Inundações e Chuvas
0.9838673426154035,0.09710774987409505,Inundações e Chuvas
-0.4158595539428554,-0.020315104340633168,Seca e Estiagem
-0.40970697910552517,-0.019949371749244934,Inundações e Chuvas
