NCA1,NCA2,Macro_Desastre
676.2768133498505,-109.2465060421078,Inundações e Chuvas
10353.45996037266,-1092.371244129683,Inundações e Chuvas
-1326.23414185049,-293.18537910956053,Seca e Estiagem
-60.931076583951,-17.86736357224319,Seca e Estiagem
-0.0048339558876450365,0.0061932899643077945,Inundações e Chuvas
-1004.3182075947693,-329.2762444413414,Seca e Estiagem
-76.70312012461035,-36.47782054295632,Seca e Estiagem
-110.00176379429836,-36.18601575355735,Seca e Estiagem
0.0,0.0,Seca e Estiagem
-35.1618712420522,-15.684239558821762,Seca e Estiagem
-113.0911367303426,-7.653689016502237,Seca e Estiagem
40609.673560239025,6107.060482808166,Inundações e Chuvas
-4373.886191428816,-1431.5969247491357,Seca e Estiagem
-302.0628110598729,-45.16893917233788,Seca e Estiagem
-2053.138173084273,-689.9756058530418,Seca e Estiagem
-399.0668011221729,-133.07689203092218,Seca e Estiagem
1802.5837498948292,121.71678502744942,Tempestades Severas
0.0,0.0,Incêndios Florestais
-2790.2645054931927,-251.82246982866982,Seca e Estiagem
-731.1109263242619,-183.16158646670647,Seca e Estiagem
0.0,0.0,Inundações e Chuvas
-56.176676079929756,-27.20905020040261,Tempestades Severas
426.56055056676496,-85.5651072771348,Inundações e Chuvas
0.0,0.0,Tempestades Severas
-0.47703606861242415,-0.23105137655012328,Tempestades Severas
-485.79049864784656,-163.4963310030946,Seca e Estiagem
-844.9080523765921,-162.22603667296053,Seca e Estiagem
-57.02447867528215,-17.688082232564273,Seca e Estiagem
-93.56157088404997,-25.66293594547179,Seca e Estiagem
4977.295375496055,1031.5911753835037,Inundações e Chuvas
91.11750574783164,32.24499775099071,Inundações e Chuvas
-69.11970672238074,-24.612846707155818,Seca e Estiagem
-32.14748811221391,-14.030178178478621,Seca e Estiagem
2098.0342378264363,657.1863387027769,Inundações e Chuvas
-423.15867393479436,-164.330756004223,Seca e Estiagem
2139.3756770690843,1100.05121923521,Tempestades Severas
0.0,0.0,Seca e Estiagem
319.8360052471531,1824.5256127878083,Tempestades Severas
1682.5608976010114,-38.91288888336453,Inundações e Chuvas
111.29181352745726,3.5494232004215056,Seca e Estiagem
11798.633356075516,-1090.0580128684292,Inundações e Chuvas
-42027.61560160677,-7481.115413020122,Seca e Estiagem
139.50646718775275,-77.47832128110122,Inundações e Chuvas
-1189.5921349661467,-406.9075790708432,Seca e Estiagem
-101.34905539143647,-102.53074664809064,Inundações e Chuvas
-242.90739764123987,-71.07924728305045,Seca e Estiagem
-0.20362188472379575,0.36747094594037577,Tempestades Severas
18005.09722978305,-2014.8997154858766,Inundações e Chuvas
-716.7491994620985,-205.62466175286306,Seca e Estiagem
-10500.833979227957,-3538.176423928635,Seca e Estiagem
0.0,0.0,Tempestades Severas
163.72204979273263,-6.134062246975599,Inundações e Chuvas
2529.167810313043,-283.37025833822696,Inundações e Chuvas
6497.256941541671,46.75967732548878,Tempestades Severas
-624.1648684916053,-207.40776643957042,Seca e Estiagem
-3302.6173548862203,-948.3398661389798,Seca e Estiagem
-6021.389552935218,-2035.72030819686,Seca e Estiagem
3544.842819335217,-609.9778928522705,Inundações e Chuvas
-2000.1807540241991,-596.0610061834379,Seca e Estiagem
76039.36187132778,23914.76486168752,Inundações e Chuvas
-1794.6764366911725,-571.6825258007669,Seca e Estiagem
-1836.7123701175287,-636.4391735632245,Seca e Estiagem
-1137.9324107538555,-401.97730391823944,Seca e Estiagem
41.53348667884097,826.7249144940021,Incêndios Florestais
-26.33907033414926,-5.656324931281873,Incêndios Florestais
0.0,0.0,Tempestades Severas
0.0,0.0,Inundações e Chuvas
95.88739178917409,24.47018439619451,Inundações e Chuvas
45.56358682980347,16.116305585531048,Inundações e Chuvas
0.0,0.0,Inundações e Chuvas
-352.2916801164964,-130.58683350709632,Seca e Estiagem
-83.29958398103616,-40.34597132425248,Seca e Estiagem
-10045.829107503001,-3437.7194986240333,Seca e Estiagem
-268.288938792318,-91.6943477478827,Seca e Estiagem
0.0,0.0,Inundações e Chuvas
-282.8696411769754,-117.15213868858051,Incêndios Florestais
-35.07225813681499,-16.314003586248734,Seca e Estiagem
0.0,0.0,Inundações e Chuvas
0.0,0.0,Inundações e Chuvas
-0.07572001089086097,-0.03667482167462274,Seca e Estiagem
2742.328918266582,251.69468226189446,Inundações e Chuvas
0.0,0.0,Inundações e Chuvas
1071.850084769576,37.77490249415315,Inundações e Chuvas
0.0,0.0,Inundações e Chuvas
-191.3122069155942,-332.5623287145251,Inundações e Chuvas
263.576983625368,18.799088163889127,Inundações e Chuvas
663.8543956519217,85.93470650444279,Inundações e Chuvas
0.0,0.0,Inundações e Chuvas
-984.1016462504614,-197.82322527291393,Seca e Estiagem
158.14909054875335,11.275736924354891,Inundações e Chuvas
-3.786000544543049,-1.833741083731137,Inundações e Chuvas
0.0,0.0,Deslizamentos
-10607.962665976518,-3627.521918178891,Seca e Estiagem
-837.0055547018396,-1256.9483394174797,Inundações e Chuvas
4322.105718371413,-3.1080675401859836,Inundações e Chuvas
-32.06367188878417,-13.510465538893172,Seca e Estiagem
0.0,0.0,Inundações e Chuvas
0.0,0.0,Inundações e Chuvas
248.3078868781494,-125.65579584848986,Inundações e Chuvas
-162.82382971902743,-56.24438758073134,Seca e Estiagem
-91019.90990445572,-31142.536252502425,Seca e Estiagem
-1.4602323654501723,4.415035267631399,Inundações e Chuvas
-101.50597506404087,-2.042441300284959,Seca e Estiagem
1302.9192602477608,69.13995939349553,Inundações e Chuvas
-8.722303120111945,-4.199024622688691,Inundações e Chuvas
-63.917170831772566,-29.94838999647801,Seca e Estiagem
-499.6641846287816,-152.9186231542941,Seca e Estiagem
0.0,0.0,Seca e Estiagem
0.0,0.0,Inundações e Chuvas
-78.88840781094069,8.912327933924853,Seca e Estiagem
-28936.4292948873,-9669.231813574674,Seca e Estiagem
3833.7717772461365,-130.4780657780289,Tempestades Severas
-98.08750353750666,-36.60359477623064,Seca e Estiagem
380.1662508395196,-124.40453029026853,Inundações e Chuvas
90290.10196812409,28506.156685127542,Inundações e Chuvas
43341.410388043834,-1442.108443400965,Inundações e Chuvas
-11941.249917812615,-4111.762045618478,Seca e Estiagem
14084.234437058958,-5726.102973171689,Inundações e Chuvas
-224.1316446411114,-87.44889237692823,Seca e Estiagem
693.105500671081,-212.6456698451665,Inundações e Chuvas
0.0,0.0,Incêndios Florestais
2763.9125357902794,197.09836072575337,Inundações e Chuvas
872.4584297625642,-231.39579963214183,Inundações e Chuvas
-644.2219304023002,14.316948800444818,Seca e Estiagem
6074.798876665341,-6376.921365966168,Inundações e Chuvas
0.0,0.0,Inundações e Chuvas
-272.04687059128906,-145.7546385016541,Inundações e Chuvas
0.0,0.0,Inundações e Chuvas
-0.030288004356344392,-0.014669928669849097,Tempestades Severas
16469.904826001468,-10563.785353089475,Inundações e Chuvas
45.56358682980347,16.116305585531048,Deslizamentos
50.9475408673647,-2.365422533938551,Inundações e Chuvas
733.7292782102601,183.25659675902452,Inundações e Chuvas
-2319.3636352251556,-345.7500484585007,Seca e Estiagem
0.0,0.0,Inundações e Chuvas
0.0,0.0,Seca e Estiagem
0.0,0.0,Incêndios Florestais
0.0,0.0,Seca e Estiagem
-910.588584223675,-297.95620807073095,Seca e Estiagem
19356.288459203344,-5560.692783902658,Inundações e Chuvas
273.3815209788208,96.6978335131863,Tempestades Severas
175.64071749628317,871.8213659101192,Incêndios Florestais
-1841.2949422347244,-477.7239273618199,Seca e Estiagem
33960.78835421269,5442.901709915806,Inundações e Chuvas
41842.918889388326,-12543.30541581441,Inundações e Chuvas
-2748.5851306213294,-955.3077115189496,Seca e Estiagem
0.0,0.0,Inundações e Chuvas
45.548642179191376,16.1089856675739,Tempestades Severas
4687.910451517817,356.7363760676925,Inundações e Chuvas
0.0,0.0,Deslizamentos
-21.37539743273198,-8.98289814637658,Seca e Estiagem
-106.64736380353033,-4.532661691991843,Seca e Estiagem
