LLE1,LLE2,Macro_Desastre
0.03056748845957831,-0.0009727109500288673,Inundações e Chuvas
0.03075281092325023,0.010473145677538768,Inundações e Chuvas
0.010715315243262472,-0.013949874620745203,Seca e Estiagem
0.010693577686712578,-0.013984890358186588,Seca e Estiagem
0.01069903858405546,-0.013976106210393038,Inundações e Chuvas
0.010702735460434945,-0.013970125192049916,Seca e Estiagem
0.010700368451840256,-0.013973966632719523,Seca e Estiagem
0.010690357100072856,-0.013990031057656352,Seca e Estiagem
0.01069919712643748,-0.013975896398340577,Seca e Estiagem
0.01069983912372308,-0.013974844267946913,Seca e Estiagem
0.01070816410024575,-0.013961335243461343,Seca e Estiagem
-0.037579200395379264,-0.04476914561838151,Inundações e Chuvas
0.010706885550275257,-0.013963450466622368,Seca e Estiagem
0.010662470050450921,-0.014034682600969267,Seca e Estiagem
0.010710066996735735,-0.01395830950230867,Seca e Estiagem
0.01070258926359941,-0.013970420960004337,Seca e Estiagem
0.008613426428123811,-0.01218199297337113,Tempestades Severas
0.010699197126192498,-0.013975896398711862,Incêndios Florestais
0.010899830394574747,-0.013653196500409219,Seca e Estiagem
0.010690774946819246,-0.013989291051145988,Seca e Estiagem
0.010699197126192453,-0.013975896398711742,Inundações e Chuvas
0.010699966126219318,-0.01397462486616365,Tempestades Severas
0.01120404597552223,-0.00818474138694971,Inundações e Chuvas
0.010699197126162689,-0.013975896398771365,Tempestades Severas
0.010698976874799171,-0.013976249101437032,Tempestades Severas
0.01069462427164377,-0.01398315300503132,Seca e Estiagem
0.010708809679412765,-0.013960321552099357,Seca e Estiagem
0.01069280402513718,-0.013986131538867855,Seca e Estiagem
0.010701113468707652,-0.013972793470579942,Seca e Estiagem
0.016140176314989763,-0.011198774314731113,Inundações e Chuvas
-0.020799720671671972,-0.027306509604997448,Inundações e Chuvas
0.010701630428919818,-0.01397198552676481,Seca e Estiagem
0.010699980135372981,-0.013974620459639634,Seca e Estiagem
0.009560319238682698,-0.012479749264576989,Inundações e Chuvas
0.011168576458118041,-0.012139790606981622,Seca e Estiagem
-0.0008230643240756411,-0.019587353167810396,Tempestades Severas
0.01069919712623157,-0.013975896398655818,Seca e Estiagem
-0.09370243447219412,-0.08902462353952391,Tempestades Severas
0.010888029554849556,-0.013006584499858883,Inundações e Chuvas
0.010362269442080388,-0.014001106394309407,Seca e Estiagem
0.015624302176071523,-0.00719019252344638,Inundações e Chuvas
0.009150060790977804,0.06793299647531664,Seca e Estiagem
0.00987060791799022,-0.012988771531531907,Inundações e Chuvas
0.010699054309964148,-0.013976025150558902,Seca e Estiagem
0.010698721118838211,-0.013963142800518783,Inundações e Chuvas
0.010705250075887256,-0.01396616092423056,Seca e Estiagem
0.014563415454324422,-0.01524908866204881,Tempestades Severas
0.017020812389222643,-0.006204606526705502,Inundações e Chuvas
0.010517883983199446,-0.013049875640526213,Seca e Estiagem
0.01070422559733695,-0.013967732502572461,Seca e Estiagem
0.010699197126297367,-0.013975896398562964,Tempestades Severas
0.010704861831627109,-0.013954939815069189,Inundações e Chuvas
0.011305607896457922,-0.008217068225127296,Inundações e Chuvas
0.018854090282048118,-0.008863061750472412,Tempestades Severas
0.010697117021094481,-0.013979172537781942,Seca e Estiagem
0.010720277332176136,-0.013941910176836245,Seca e Estiagem
0.010704433015470555,-0.0139673986665352,Seca e Estiagem
0.011114930209202335,-0.011879605873569923,Inundações e Chuvas
0.08950326764807953,0.05186277258418688,Seca e Estiagem
0.03824187052654481,-0.015629198726207875,Inundações e Chuvas
0.010701102283777898,-0.013972739477962737,Seca e Estiagem
0.010701284916359561,-0.013972401959343619,Seca e Estiagem
0.0107056401349162,-0.013965409153799225,Seca e Estiagem
-0.034109539006463366,-0.04968966309217258,Incêndios Florestais
0.01068562366843353,-0.013997642478373673,Incêndios Florestais
0.01069919712764133,-0.013975896396445737,Tempestades Severas
0.010699197126496423,-0.013975896398245142,Inundações e Chuvas
0.010699981583186514,-0.013969126570846575,Inundações e Chuvas
0.01456333140878787,-0.015249096841408937,Inundações e Chuvas
0.01069919712714805,-0.013975896397232854,Inundações e Chuvas
0.01070178202737659,-0.013971658355441133,Seca e Estiagem
0.01070043359311941,-0.013973857030306572,Seca e Estiagem
0.010704820310196586,-0.013966775845725182,Seca e Estiagem
0.010700174844788983,-0.013974304207514754,Seca e Estiagem
0.010699197126297327,-0.013975896398562532,Inundações e Chuvas
0.010706630984202613,-0.013963849938130555,Incêndios Florestais
0.010699599251378037,-0.01397522824137881,Seca e Estiagem
0.010699197126297817,-0.01397589639856516,Inundações e Chuvas
0.010699197126424712,-0.013975896398357291,Inundações e Chuvas
0.010699037177393336,-0.013976152703098932,Seca e Estiagem
-0.0021446356794927015,-0.023793688003766817,Inundações e Chuvas
0.010699197126424712,-0.013975896398357291,Inundações e Chuvas
0.010656092641587591,-0.01341319566955505,Inundações e Chuvas
0.010699197126424661,-0.01397589639835729,Inundações e Chuvas
0.01073859693288528,-0.013863238823003518,Inundações e Chuvas
0.010699248423869727,-0.013975449362069969,Inundações e Chuvas
0.010680512522510755,-0.013716862434159042,Inundações e Chuvas
0.010699197126424743,-0.013975896398357293,Inundações e Chuvas
0.010705711098077593,-0.013965294655884256,Seca e Estiagem
0.010699243501131911,-0.013975493603275234,Inundações e Chuvas
0.010699038714230408,-0.013976147774842667,Inundações e Chuvas
0.010699197126424698,-0.013975896398357291,Deslizamentos
0.010703154142882337,-0.013969455980883753,Seca e Estiagem
0.01082974085622131,-0.013208763027023953,Inundações e Chuvas
0.010892730260004159,-0.010399725378696037,Inundações e Chuvas
0.01070020025779388,-0.013974268076209481,Seca e Estiagem
0.010699197126424712,-0.013975896398357291,Inundações e Chuvas
0.010699197126424684,-0.013975896398357288,Inundações e Chuvas
0.010923216569790464,-0.013169083173929855,Inundações e Chuvas
0.010692003766905153,-0.013987397533655301,Seca e Estiagem
0.010703201179480225,-0.013969380757055783,Seca e Estiagem
0.010767272694804706,-0.013744278039323477,Inundações e Chuvas
0.010708162812373273,-0.01396133688686807,Seca e Estiagem
0.009880932703092347,-0.007526449797068444,Inundações e Chuvas
0.010699125641100232,-0.013976005053684407,Inundações e Chuvas
0.010700214243326489,-0.013974222845046222,Seca e Estiagem
0.010693071458030947,-0.013985659907299329,Seca e Estiagem
0.010699197126424661,-0.01397589639835729,Seca e Estiagem
0.010699197126424712,-0.013975896398357291,Inundações e Chuvas
0.010708160439484476,-0.013961339914896705,Seca e Estiagem
0.010703199056080167,-0.013969383895473182,Seca e Estiagem
0.010015143410347725,-0.019431604210634626,Tempestades Severas
0.01069849128432805,-0.013976991732838643,Seca e Estiagem
0.010749637135304154,-0.013691603099164465,Inundações e Chuvas
0.07038119996888217,0.0025067077527024884,Inundações e Chuvas
0.0320948313265495,-0.0010445581015315008,Inundações e Chuvas
0.010703187033484819,-0.013969403079450287,Seca e Estiagem
0.027848874319870376,-0.010233092199481002,Inundações e Chuvas
0.010701778659780775,-0.013971680605473352,Seca e Estiagem
0.010255781597283225,-0.012511180496569902,Inundações e Chuvas
0.010699197126424672,-0.013975896398357284,Incêndios Florestais
0.0072233593940766935,-0.01241137124933704,Inundações e Chuvas
0.023874357879228317,-0.009450349010242245,Inundações e Chuvas
0.04328484398793807,0.0009107115119705264,Seca e Estiagem
-0.0031306050843043264,-0.022348340589556814,Inundações e Chuvas
0.010699197126424661,-0.01397589639835729,Inundações e Chuvas
0.010699885807044382,-0.013963287931410802,Inundações e Chuvas
0.010699197126424743,-0.013975896398357293,Inundações e Chuvas
0.010699133299616055,-0.01397599867536172,Tempestades Severas
0.12070065336858607,0.12455662997069385,Inundações e Chuvas
0.014563331408788138,-0.015249096841408957,Deslizamentos
0.01070490930879034,-0.01395482698644169,Inundações e Chuvas
0.009025621187648112,-0.009815112457544916,Inundações e Chuvas
0.010750383461060614,-0.01389352574806336,Seca e Estiagem
0.010699197126424661,-0.01397589639835729,Inundações e Chuvas
0.010699197126424684,-0.013975896398357288,Seca e Estiagem
0.010699197126424684,-0.013975896398357288,Incêndios Florestais
0.010699197126424712,-0.013975896398357291,Seca e Estiagem
0.010694146949887979,-0.01398393512539152,Seca e Estiagem
0.02860839288882592,-0.008918843897882903,Inundações e Chuvas
0.008021477339234145,-0.013945391377861402,Tempestades Severas
-0.026110584060821,-0.040517177940965626,Incêndios Florestais
0.010714412886485903,-0.013951327999994115,Seca e Estiagem
0.019510981055071423,-0.0093097860245303,Inundações e Chuvas
0.06009802384942321,-0.008217742167944615,Inundações e Chuvas
0.01070420367051006,-0.01396777670125102,Seca e Estiagem
0.010699197126424661,-0.01397589639835729,Inundações e Chuvas
0.014563332021767992,-0.015249096781812863,Tempestades Severas
-0.003945182381606722,-0.022354589868651378,Inundações e Chuvas
0.010699197126424732,-0.013975896398357291,Deslizamentos
0.010699778921994916,-0.013974950201354175,Seca e Estiagem
0.01070816337561157,-0.01396133616812451,Seca e Estiagem
0.010699197126424712,-0.013975896398357291,Incêndios Florestais
0.010687275946397632,-0.013994951801190859,Seca e Estiagem
0.010723464611896825,-0.013885549098195693,Inundações e Chuvas
0.01070037292801283,-0.013973965843397967,Seca e Estiagem
0.010700316229913596,-0.01397405032396982,Tempestades Severas
0.023874357833455075,-0.009450348997516693,Tempestades Severas
0.008608874903286745,-0.013365855546160236,Inundações e Chuvas
0.017357565011721594,-0.01015476913238896,Inundações e Chuvas
0.010699197126424705,-0.01397589639835729,Seca e Estiagem
0.010725020249949473,-0.01388803564479473,Inundações e Chuvas
0.013746702674235571,-0.014979905415123167,Tempestades Severas
0.010699197126509843,-0.013975896398224141,Tempestades Severas
0.02387435781843405,-0.009450348993361299,Tempestades Severas
0.010702567383904462,-0.013970445107710984,Seca e Estiagem
0.010694869407900228,-0.0139828012822169,Seca e Estiagem
0.010699162071171447,-0.013975945345919614,Seca e Estiagem
0.010703196869214589,-0.013969387374170647,Seca e Estiagem
0.010718115360978176,-0.01394538524067899,Seca e Estiagem
0.010704027852481358,-0.013968006770774985,Seca e Estiagem
0.010645415466889819,-0.013294724257234235,Inundações e Chuvas
0.011637854270604804,-0.010353989105235798,Seca e Estiagem
0.010762902284668514,-0.013653917207397158,Inundações e Chuvas
0.010695032720236686,-0.013982521090083841,Seca e Estiagem
0.010702747449510342,-0.013970113479961832,Seca e Estiagem
0.010702879486818842,-0.013969926253669494,Seca e Estiagem
0.01071434456248115,-0.013919857210565253,Inundações e Chuvas
0.010703195930741703,-0.013969388833544255,Seca e Estiagem
0.010699197126424712,-0.013975896398357291,Seca e Estiagem
0.01070657193133062,-0.013963963438854957,Seca e Estiagem
0.010699105681072713,-0.013976037832327065,Inundações e Chuvas
0.01620039066794795,-0.009687160797579123,Inundações e Chuvas
0.0107094763112634,-0.01395924905150064,Seca e Estiagem
0.011157232326325078,-0.012248698928722747,Inundações e Chuvas
0.010703195907078128,-0.013969388818075962,Seca e Estiagem
