LDA1,LDA2,Macro_Desastre
-0.10733518541471126,0.0016619500911167174,Inundações e Chuvas
0.5141752934198368,-0.19367444223259594,Inundações e Chuvas
-0.26342240246334997,-0.012968396461997286,Seca e Estiagem
-0.15110896396812784,0.07587619884434338,Seca e Estiagem
-0.14744277304540915,0.0792775045375324,Inundações e Chuvas
-0.20424064552433338,0.01797707727804406,Seca e Estiagem
-0.14974397934763284,0.06447034895176723,Seca e Estiagem
-0.15406299520915476,0.06883758782757221,Seca e Estiagem
-0.14746689263191576,0.07930494895046734,Seca e Estiagem
-0.14880289118731665,0.07259994752701396,Seca e Estiagem
-0.1638105969071163,0.061673633768721,Seca e Estiagem
2.368166026923991,-0.13402821339598478,Inundações e Chuvas
-0.3866231852796825,-0.11548913064771764,Seca e Estiagem
-0.18055444428237766,0.05311446209787759,Seca e Estiagem
-0.2576935634858119,-0.029895992097827093,Seca e Estiagem
-0.16951579939949435,0.05431763830925463,Seca e Estiagem
0.03551771699086853,0.01569369782975412,Tempestades Severas
-0.14746689263191576,0.07930494895046734,Incêndios Florestais
-0.5148727176781347,-0.21485388899064137,Seca e Estiagem
-0.2049082329729742,0.03216348899755463,Seca e Estiagem
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.14899581421268493,0.06839489584979422,Tempestades Severas
0.07211900800378987,0.09888641866136216,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Tempestades Severas
-0.14747987579131577,0.07921230393829018,Tempestades Severas
-0.17373272779586407,0.04917591672489596,Seca e Estiagem
-0.2292009145661816,0.012674877503782878,Seca e Estiagem
-0.15102027987625463,0.07564919948803754,Seca e Estiagem
-0.15499420884048373,0.0673414042468295,Seca e Estiagem
0.05883152851749091,0.34950443961112737,Inundações e Chuvas
-0.14163326674756027,0.08269116240391872,Inundações e Chuvas
-0.15084903049101422,0.07484141169273581,Seca e Estiagem
-0.14877548046071698,0.0732032097133023,Seca e Estiagem
0.0026976226694512364,0.15036710619013097,Inundações e Chuvas
-0.1949821681222161,-0.01986886075608563,Seca e Estiagem
-0.004258096603998899,0.5457448198789769,Tempestades Severas
-0.14746689263191576,0.07930494895046734,Seca e Estiagem
-0.21094251064686922,0.6777894952937125,Tempestades Severas
0.8934783804796547,-0.3849823978948823,Inundações e Chuvas
-0.15428346524423867,0.07781238722123862,Seca e Estiagem
0.9908152018356778,-0.7370833772219326,Inundações e Chuvas
-5.456423917499435,-0.5562574165516495,Seca e Estiagem
-0.08955979892114176,0.09079370158779604,Inundações e Chuvas
-0.20879590628982858,0.015459135700894314,Seca e Estiagem
-0.07943469310114938,0.013377364624807929,Inundações e Chuvas
-0.1641417664009715,0.06116086418951521,Seca e Estiagem
-0.146835842261535,0.07921998385486004,Tempestades Severas
2.037711025129612,-1.1492882778713018,Inundações e Chuvas
-0.18175115366652797,0.008881374182551895,Seca e Estiagem
-0.6908587606905153,-0.36795663922904426,Seca e Estiagem
-0.14746689263191576,0.07930494895046734,Tempestades Severas
-0.07612418562305658,0.03461780465758843,Inundações e Chuvas
1.526356072524143,-0.8652472211758583,Inundações e Chuvas
0.27094097055547095,0.19184434913585358,Tempestades Severas
-0.18146355818790097,0.04520329197536528,Seca e Estiagem
-0.3690561715098637,-0.10018067366954199,Seca e Estiagem
-0.45610363777139395,-0.16791228844219483,Seca e Estiagem
1.8577357684063516,-1.2555423139302309,Inundações e Chuvas
-0.44430233230754856,0.7585888960651789,Seca e Estiagem
6.032340885921062,-2.9868365301466957,Inundações e Chuvas
-0.2502952938377757,-0.00291557310661977,Seca e Estiagem
-0.2410982666163936,-0.029138275806984394,Seca e Estiagem
-0.20531194871455258,-0.006510620481591836,Seca e Estiagem
-0.20122504427939347,0.15131111801012959,Incêndios Florestais
-0.1540637772978271,0.07577065812478136,Incêndios Florestais
-0.14746689263191576,0.07930494895046734,Tempestades Severas
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.13571436272609255,0.08988370834018716,Inundações e Chuvas
-0.14457419927624468,0.08102550009012797,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.16502601373836862,0.040747922691253706,Seca e Estiagem
-0.1497339995614267,0.06312736515743526,Seca e Estiagem
-0.6545851223526945,-0.36700492605008217,Seca e Estiagem
-0.1610490694710212,0.0674655765363778,Seca e Estiagem
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.15940583404855374,0.036443958078000396,Incêndios Florestais
-0.14861094108761552,0.07255546445891116,Seca e Estiagem
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.14746895345086813,0.07929024339297891,Seca e Estiagem
0.25568815639889847,-0.09669674889562486,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
0.05030298960556435,-0.02033663955136986,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
0.06066149292467762,-0.13832221242501908,Inundações e Chuvas
-0.12049867695268675,0.07141500415558878,Inundações e Chuvas
-0.08490062037945757,0.06874160160556196,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.2397838596957919,0.006388621307960972,Seca e Estiagem
-0.13130043497628233,0.07458744872130117,Inundações e Chuvas
-0.14756993357953468,0.07856967107604537,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Deslizamentos
-0.6786219146507229,-0.3478718642979189,Seca e Estiagem
0.7638831267885955,-0.7244319876338812,Inundações e Chuvas
1.5599696824257576,-0.9424580127090961,Inundações e Chuvas
-0.1489080808091227,0.07326353456538004,Seca e Estiagem
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.1390771559323219,0.03479262413081877,Inundações e Chuvas
-0.15595257009324384,0.06849115658788722,Seca e Estiagem
-4.699664448099887,-3.581548149817755,Seca e Estiagem
-0.1514520459231148,0.07611547615859915,Inundações e Chuvas
-0.1634952916074025,0.06392358406445223,Seca e Estiagem
0.26707929166443417,0.06255709804492529,Inundações e Chuvas
-0.14763152805191937,0.07753147660049203,Inundações e Chuvas
-0.14949074862600303,0.06698444720223468,Seca e Estiagem
-0.17828053764675303,0.052726581838326465,Seca e Estiagem
-0.14746689263191576,0.07930494895046734,Seca e Estiagem
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.16287972498632725,0.06831613408624902,Seca e Estiagem
-1.6648345447142632,-1.1293083325187492,Seca e Estiagem
0.05819154577002688,0.3133252584030084,Tempestades Severas
-0.1524329423430825,0.06737691294686242,Seca e Estiagem
0.11334706538161729,-0.13141985535395564,Inundações e Chuvas
5.7158063942936055,3.174274067920966,Inundações e Chuvas
3.767534849660793,-1.2142257523181368,Inundações e Chuvas
-0.7369739722719733,-0.39795202491830517,Seca e Estiagem
2.2325099201255467,-1.2655518485896589,Inundações e Chuvas
-0.15782763234261057,0.05122027420161215,Seca e Estiagem
-0.0232623210483796,0.014969117810556484,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Incêndios Florestais
0.5542858214150589,-0.30899960738786364,Inundações e Chuvas
-0.06380042396127285,0.17833194637466648,Inundações e Chuvas
-0.19699491908069536,0.21111598026949566,Seca e Estiagem
0.7224992168578516,1.3330952564148382,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.0921776274335348,0.01930444942654918,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.14746771695949673,0.07929906672747197,Tempestades Severas
0.14904080646045148,-4.521520050345024,Inundações e Chuvas
-0.14457419927624468,0.08102550009012797,Deslizamentos
-0.11907407433999752,0.06482568935158597,Inundações e Chuvas
-0.038799978753607134,0.19801862863158323,Inundações e Chuvas
-0.401032900530003,-0.11535070325552471,Seca e Estiagem
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Seca e Estiagem
-0.14746689263191576,0.07930494895046734,Incêndios Florestais
-0.14746689263191576,0.07930494895046734,Seca e Estiagem
-0.19726127751194206,0.039173044329444344,Seca e Estiagem
3.2159211607456943,-1.3489075340953522,Inundações e Chuvas
-0.13011073249788901,0.08962825578843106,Tempestades Severas
-0.33710840979674117,0.31495540431360547,Incêndios Florestais
-0.28722526865922593,-0.03667232150966164,Seca e Estiagem
0.7278238532165423,0.753071398651186,Inundações e Chuvas
5.140600828090396,-6.145335345071823,Inundações e Chuvas
-0.28184047035451226,-0.041037342921239194,Seca e Estiagem
-0.14746689263191576,0.07930494895046734,Inundações e Chuvas
-0.1445748074835306,0.08102415798884893,Tempestades Severas
0.16130231432348605,-0.1794618960352198,Inundações e Chuvas
-0.14746689263191576,0.07930494895046734,Deslizamentos
-0.14843440068656055,0.07527961047198992,Seca e Estiagem
-0.163635221214269,0.0629250767109872,Seca e Estiagem
