LDA1,LDA2,Macro_Desastre
-0.10733518541471178,0.0016619500911110004,Inundações e Chuvas
0.5141752934198349,-0.19367444223259736,Inundações e Chuvas
-0.26342240246334936,-0.012968396462001389,Seca e Estiagem
-0.1511089639681283,0.0758761988443393,Seca e Estiagem
-0.1474427730454096,0.0792775045375283,Inundações e Chuvas
-0.20424064552433346,0.01797707727804062,Seca e Estiagem
-0.14974397934763334,0.06447034895176305,Seca e Estiagem
-0.15406299520915517,0.06883758782756813,Seca e Estiagem
-0.1474668926319162,0.07930494895046322,Seca e Estiagem
-0.14880289118731715,0.07259994752700982,Seca e Estiagem
-0.16381059690711675,0.06167363376871692,Seca e Estiagem
2.368166026923926,-0.1340282133960554,Inundações e Chuvas
-0.3866231852796812,-0.11548913064771803,Seca e Estiagem
-0.18055444428237777,0.053114462097873336,Seca e Estiagem
-0.2576935634858115,-0.02989599209782965,Seca e Estiagem
-0.16951579939949468,0.054317638309250835,Seca e Estiagem
0.03551771699086319,0.01569369782975215,Tempestades Severas
-0.1474668926319162,0.07930494895046322,Incêndios Florestais
-0.5148727176781336,-0.21485388899064342,Seca e Estiagem
-0.2049082329729742,0.03216348899755067,Seca e Estiagem
-0.1474668926319162,0.07930494895046322,Inundações e Chuvas
-0.14899581421268537,0.06839489584979005,Tempestades Severas
0.07211900800379169,0.09888641866135951,Inundações e Chuvas
-0.1474668926319162,0.07930494895046322,Tempestades Severas
-0.14747987579131622,0.07921230393828606,Tempestades Severas
-0.17373272779586435,0.04917591672489217,Seca e Estiagem
-0.2292009145661813,0.012674877503778579,Seca e Estiagem
-0.15102027987625505,0.07564919948803349,Seca e Estiagem
-0.15499420884048418,0.06734140424682543,Seca e Estiagem
0.05883152851749107,0.34950443961113503,Inundações e Chuvas
-0.14163326674756074,0.08269116240391469,Inundações e Chuvas
-0.15084903049101464,0.07484141169273176,Seca e Estiagem
-0.14877548046071742,0.07320320971329816,Seca e Estiagem
0.0026976226694496704,0.15036710619012872,Inundações e Chuvas
-0.19498216812221641,-0.019868860756089384,Seca e Estiagem
-0.004258096603999511,0.5457448198789759,Tempestades Severas
-0.1474668926319162,0.07930494895046322,Seca e Estiagem
-0.2109425106468697,0.6777894952937089,Tempestades Severas
0.8934783804796698,-0.38498239789487815,Inundações e Chuvas
-0.15428346524423933,0.0778123872212332,Seca e Estiagem
0.9908152018356647,-0.7370833772219348,Inundações e Chuvas
