Isomap1,Isomap2,Macro_Desastre
-0.111445718527451,0.1555757250513425,Inundações e Chuvas
-0.03620879862322461,-0.12031708346742993,Inundações e Chuvas
-0.3921291174519298,-0.08109781697927078,Seca e Estiagem
-0.1141597819758687,-0.01996587283610735,Seca e Estiagem
-0.1062758897504204,-0.015394181848003459,Inundações e Chuvas
-0.22115690386512207,-0.06014079814482964,Seca e Estiagem
-0.15621683471712736,-0.06489220972186252,Seca e Estiagem
-0.12606850741866066,-0.03375470376887329,Seca e Estiagem
-0.10630841211724427,-0.015301321296025931,Seca e Estiagem
-0.1220967475638364,-0.03477091830708569,Seca e Estiagem
-0.18529304154863993,-0.025327611412142174,Seca e Estiagem
1.6207164937558098,4.722125675232771,Inundações e Chuvas
-0.3848573727475146,-0.09561269848944517,Seca e Estiagem
-0.20567218661963876,-0.03983066927521283,Seca e Estiagem
-0.2753232203548189,-0.06718327258905292,Seca e Estiagem
-0.15334070077304895,-0.03411776057431953,Seca e Estiagem
-0.17619929308221202,0.6511558587663051,Tempestades Severas
-0.10630841211724427,-0.015301321296025931,Incêndios Florestais
-1.0963898897424174,-0.08567102777140786,Seca e Estiagem
-0.2341780595909471,-0.05666089887430628,Seca e Estiagem
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.14404996377732432,-0.04639744646105305,Tempestades Severas
0.10901142226432814,-0.21570219859047587,Inundações e Chuvas
-0.10630841211724427,-0.015301321296025931,Tempestades Severas
-0.1064583507170266,-0.015638895928246938,Tempestades Severas
-0.1652650628347698,-0.04259407847900018,Seca e Estiagem
-0.33266481410936916,-0.07106194428037586,Seca e Estiagem
-0.11534752001541844,-0.018018105232090586,Seca e Estiagem
-0.13619678004787739,-0.031836725261373634,Seca e Estiagem
4.335146439349461,-0.1257030807286326,Inundações e Chuvas
-0.09267086226652377,-0.01269342775780544,Inundações e Chuvas
-0.11278539080692454,-0.020747506117891935,Seca e Estiagem
-0.11997432870287103,-0.03359559174998782,Seca e Estiagem
0.205188930359611,0.16249009067242542,Inundações e Chuvas
-0.17131312376063518,-0.0772229150635116,Seca e Estiagem
0.35332118867278167,-0.5442756701311083,Tempestades Severas
-0.10630841211724427,-0.015301321296025931,Seca e Estiagem
-0.105098442864376,-1.2107748484075591,Tempestades Severas
0.10063083465101948,-0.07409469795492485,Inundações e Chuvas
-0.12355950950284245,-0.014682181448280538,Seca e Estiagem
-1.0677929159555555,2.0402763535476485,Inundações e Chuvas
-18.67678079394153,-17.15023093849195,Seca e Estiagem
-0.04745675691137749,-0.09499966279158306,Inundações e Chuvas
-0.20268536866148681,-0.05101190020754337,Seca e Estiagem
-0.08463002397227781,-0.03056955519620692,Inundações e Chuvas
-0.14532374962888425,-0.0287431738519564,Seca e Estiagem
-0.09267997507879398,-0.010320391698050152,Tempestades Severas
-1.5595066688697665,3.824200130798862,Inundações e Chuvas
-0.22979440188792913,-0.09809664205790992,Seca e Estiagem
-0.8799440926192108,-0.33731906830463754,Seca e Estiagem
-0.10630841211724427,-0.015301321296025931,Tempestades Severas
-0.0789688374203588,-0.0347789564182927,Inundações e Chuvas
0.15198021925020175,-0.4108027199558587,Inundações e Chuvas
0.5170916828741513,0.31892323136421585,Tempestades Severas
-0.17156634979466695,-0.037782372163173025,Seca e Estiagem
-0.5009938819018165,-0.09991475998229243,Seca e Estiagem
-0.4806497903833919,-0.1352044427194479,Seca e Estiagem
0.9084541897947719,-0.0006301581336674276,Inundações e Chuvas
-0.5207926388663497,-3.4766005751956963,Seca e Estiagem
8.643745596680475,-2.414747926007841,Inundações e Chuvas
-0.23415625502928722,-0.058570629725164094,Seca e Estiagem
-0.2759311359242235,-0.07857816363197424,Seca e Estiagem
-0.2716094999486145,-0.08842260417829136,Seca e Estiagem
0.016475522112175584,-0.4380177578484002,Incêndios Florestais
-0.1398452875725836,-0.04568400828408063,Incêndios Florestais
-0.10630841211724427,-0.015301321296025931,Tempestades Severas
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.1256227764919352,-0.00017702248630979074,Inundações e Chuvas
-0.09155816410695203,-0.010266883195071795,Inundações e Chuvas
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.20146064549218773,-0.08669645361225363,Seca e Estiagem
-0.16169643029060282,-0.06771350853664385,Seca e Estiagem
-0.8053820235585076,-0.2698674023410037,Seca e Estiagem
-0.12415041734284356,-0.020408709798310075,Seca e Estiagem
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.21610482429340946,-0.08872308399802023,Incêndios Florestais
-0.12234761451152079,-0.03507279178842988,Seca e Estiagem
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.10633326901531377,-0.015408277254058253,Seca e Estiagem
0.4126429730855935,-0.052266841163698695,Inundações e Chuvas
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.07430511843613959,0.2528692410084616,Inundações e Chuvas
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.09616030687265735,0.07721542957846549,Inundações e Chuvas
-0.12967691840203327,0.05014162134513652,Inundações e Chuvas
-0.13502642729461373,0.13653321491788786,Inundações e Chuvas
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.34343982564525355,-0.07307244258030599,Seca e Estiagem
-0.11942559192729985,0.02203197102546149,Inundações e Chuvas
-0.1087740635129182,-0.01734536217789643,Inundações e Chuvas
-0.10630841211724427,-0.015301321296025931,Deslizamentos
-0.8506744563484495,-0.3125188127850839,Seca e Estiagem
0.20917282551480673,-0.08264871885116719,Inundações e Chuvas
0.8996919305394024,-0.11192109369946888,Inundações e Chuvas
-0.1205486900103581,-0.033347190547691544,Seca e Estiagem
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.12093388762890524,0.060575512098163184,Inundações e Chuvas
-0.12253130166024834,-0.02989209971443112,Seca e Estiagem
-5.648234499925718,-0.8294828376380163,Seca e Estiagem
-0.1346594901374471,0.004849629566433242,Inundações e Chuvas
-0.17985849989288588,-0.025388827255425676,Seca e Estiagem
0.23584742175498305,-0.21526031965881948,Inundações e Chuvas
-0.109444904300694,-0.020236006978043727,Inundações e Chuvas
