T-SNE1,T-SNE2,Macro_Desastre
48.294193,5.2959633,Tempestades Severas
16.555225,-21.061071,Inundações e Chuvas
13.973676,26.757502,Deslizamentos
-4.6451874,-29.27856,Seca e Estiagem
-58.028984,-16.905525,Seca e Estiagem
18.514645,30.306795,Incêndios Florestais
-18.964792,-8.592018,Seca e Estiagem
9.939933,1.8580999,Inundações e Chuvas
-23.218798,-35.171757,Seca e Estiagem
-25.581596,-34.834915,Tempestades Severas
18.209135,-26.374796,Tempestades Severas
41.287086,-15.722389,Inundações e Chuvas
29.675714,-36.626175,Inundações e Chuvas
16.23167,30.087337,Seca e Estiagem
31.066418,9.401556,Inundações e Chuvas
42.334484,11.368443,Tempestades Severas
15.506989,24.516787,Tempestades Severas
20.650898,-28.044806,Tempestades Severas
-25.224184,-22.137108,Seca e Estiagem
-16.95075,-19.880661,Seca e Estiagem
-9.834997,5.4257035,Seca e Estiagem
-17.788292,47.054092,Seca e Estiagem
-40.899216,26.85411,Seca e Estiagem
-48.590485,4.9968963,Seca e Estiagem
35.56874,-7.1430297,Inundações e Chuvas
-5.189588,-16.245005,Seca e Estiagem
17.342424,-6.2528214,Inundações e Chuvas
-32.516945,-5.6527977,Seca e Estiagem
-37.62663,22.517584,Seca e Estiagem
-35.298084,-2.824459,Seca e Estiagem
9.958175,3.1345298,Inundações e Chuvas
-21.232141,44.493855,Seca e Estiagem
16.103245,29.581585,Seca e Estiagem
-40.04914,21.638063,Seca e Estiagem
-8.038448,6.354976,Inundações e Chuvas
32.792652,-30.397854,Inundações e Chuvas
-49.162613,1.8310316,Seca e Estiagem
49.971573,-3.9748971,Inundações e Chuvas
-25.053179,42.043186,Seca e Estiagem
-14.47563,-30.891356,Seca e Estiagem
31.355402,6.844879,Inundações e Chuvas
26.179129,-0.1618724,Seca e Estiagem
13.449942,29.970787,Inundações e Chuvas
40.093548,-17.60256,Inundações e Chuvas
-2.2175033,5.1545606,Incêndios Florestais
14.94684,30.269613,Inundações e Chuvas
16.947079,-22.147467,Inundações e Chuvas
-3.455103,-28.132544,Seca e Estiagem
34.37793,-2.462256,Inundações e Chuvas
-36.48647,29.334274,Seca e Estiagem
18.31921,-0.31144792,Inundações e Chuvas
-6.8510866,0.5172645,Seca e Estiagem
17.82176,30.432877,Seca e Estiagem
19.76521,3.7058146,Inundações e Chuvas
18.230896,30.058758,Tempestades Severas
14.792748,29.567713,Incêndios Florestais
46.206173,6.149854,Tempestades Severas
17.259497,30.208033,Seca e Estiagem
50.41103,-1.2975249,Inundações e Chuvas
-7.9340305,-1.8189834,Seca e Estiagem
32.77853,-39.02748,Inundações e Chuvas
14.75215,30.384926,Seca e Estiagem
-38.564022,18.469444,Seca e Estiagem
-26.4985,41.138584,Seca e Estiagem
-34.876087,36.54784,Seca e Estiagem
18.88363,4.92438,Inundações e Chuvas
-57.70645,-17.358276,Seca e Estiagem
13.2675905,30.73639,Incêndios Florestais
17.106823,-3.4918811,Inundações e Chuvas
27.27384,-2.2093997,Inundações e Chuvas
-7.9980407,-3.234456,Seca e Estiagem
30.013205,-14.608817,Inundações e Chuvas
-32.181522,35.69713,Seca e Estiagem
34.450806,-3.6872945,Tempestades Severas
16.931082,29.657328,Seca e Estiagem
-27.62479,-32.553173,Seca e Estiagem
15.910011,30.10909,Incêndios Florestais
17.425575,-13.892802,Inundações e Chuvas
14.070512,29.377398,Incêndios Florestais
-53.20266,-20.2257,Seca e Estiagem
16.906786,30.141228,Seca e Estiagem
29.102444,-32.845158,Inundações e Chuvas
32.141262,-24.954918,Inundações e Chuvas
16.503946,30.09968,Tempestades Severas
-22.975346,-1.6395681,Seca e Estiagem
-4.108643,-30.95885,Seca e Estiagem
-14.2357235,49.831097,Seca e Estiagem
13.070064,32.11047,Deslizamentos
19.779531,-3.8422973,Inundações e Chuvas
-24.105247,-15.957503,Seca e Estiagem
-36.272636,2.3642998,Seca e Estiagem
-35.670994,30.954058,Seca e Estiagem
11.157267,-5.6590147,Inundações e Chuvas
31.373686,-15.821598,Inundações e Chuvas
-19.210236,0.19703114,Inundações e Chuvas
13.083926,30.397318,Inundações e Chuvas
15.262947,30.224413,Tempestades Severas
17.344769,30.274738,Incêndios Florestais
-37.593166,-30.522314,Seca e Estiagem
-34.29301,7.6584787,Seca e Estiagem
17.82536,30.43067,Incêndios Florestais
15.674635,30.140911,Tempestades Severas
13.679836,30.311771,Seca e Estiagem
-50.043617,7.118781,Seca e Estiagem
14.102683,30.82932,Seca e Estiagem
15.536233,30.156937,Deslizamentos
24.488066,-18.540564,Inundações e Chuvas
30.659063,6.400498,Inundações e Chuvas
-16.496962,47.972397,Seca e Estiagem
45.837387,-25.88582,Inundações e Chuvas
13.571009,29.793898,Seca e Estiagem
-3.1856296,12.547401,Seca e Estiagem
-28.005096,41.62591,Inundações e Chuvas
-51.258842,7.8626966,Seca e Estiagem
43.23665,-1.6720957,Incêndios Florestais
14.070516,30.020998,Deslizamentos
13.838494,31.018002,Inundações e Chuvas
12.745798,31.022472,Incêndios Florestais
-52.78941,-16.030727,Seca e Estiagem
37.310577,7.586961,Tempestades Severas
10.756727,-3.737616,Inundações e Chuvas
44.478195,-13.587667,Tempestades Severas
-23.74516,-12.893705,Seca e Estiagem
-34.13313,10.424462,Seca e Estiagem
36.3822,6.578492,Inundações e Chuvas
-9.615125,-37.62044,Seca e Estiagem
-40.578316,-3.7438645,Seca e Estiagem
13.223523,31.828987,Inundações e Chuvas
-25.692757,-15.632017,Seca e Estiagem
45.675053,-10.823358,Inundações e Chuvas
18.883286,31.152245,Incêndios Florestais
13.035014,3.0164669,Inundações e Chuvas
-3.324539,-27.560698,Incêndios Florestais
-23.180376,-34.927166,Seca e Estiagem
-16.953012,-13.17271,Seca e Estiagem
18.742975,6.680093,Inundações e Chuvas
-39.609432,22.42136,Seca e Estiagem
18.38472,-20.264301,Tempestades Severas
23.663183,-30.148415,Tempestades Severas
-16.309767,-35.73618,Seca e Estiagem
29.016954,-32.57815,Tempestades Severas
15.121903,30.260588,Inundações e Chuvas
10.418942,26.84358,Tempestades Severas
14.744293,30.401257,Inundações e Chuvas
18.878248,-28.210842,Tempestades Severas
-56.900215,-16.740725,Seca e Estiagem
13.139044,30.26452,Inundações e Chuvas
14.317763,30.639063,Incêndios Florestais
32.651627,-28.64951,Tempestades Severas
18.639893,30.868277,Seca e Estiagem
13.463713,7.720928,Seca e Estiagem
20.49593,-3.4726598,Inundações e Chuvas
10.449001,-43.206867,Inundações e Chuvas
18.627026,-0.27074462,Inundações e Chuvas
31.153736,-22.545076,Inundações e Chuvas
13.419692,20.570715,Tempestades Severas
-42.97351,14.978953,Seca e Estiagem
9.202944,14.985486,Inundações e Chuvas
-4.87351,8.510632,Seca e Estiagem
16.103601,-0.18402472,Inundações e Chuvas
-33.055244,9.350982,Seca e Estiagem
-37.520393,26.267458,Seca e Estiagem
11.064378,-5.712295,Inundações e Chuvas
-40.94532,13.029464,Seca e Estiagem
45.500626,-25.293022,Inundações e Chuvas
9.145982,-14.49198,Inundações e Chuvas
14.368323,29.978128,Inundações e Chuvas
29.974586,-37.322193,Inundações e Chuvas
-49.489418,1.8336923,Seca e Estiagem
-18.618183,1.0173352,Tempestades Severas
14.6598625,30.505657,Incêndios Florestais
49.694492,-1.6204716,Tempestades Severas
14.217924,30.651731,Inundações e Chuvas
13.841155,30.982208,Incêndios Florestais
-26.16816,-36.09007,Seca e Estiagem
38.30419,13.843093,Inundações e Chuvas
-33.130085,-31.761553,Seca e Estiagem
12.831102,30.812496,Inundações e Chuvas
-14.521637,-35.449802,Seca e Estiagem
38.347965,-37.24868,Inundações e Chuvas
18.012964,30.543993,Deslizamentos
18.33174,30.72273,Seca e Estiagem
13.264009,31.707594,Inundações e Chuvas
14.229418,30.718763,Inundações e Chuvas
13.4045515,31.469952,Inundações e Chuvas
20.380684,5.370285,Inundações e Chuvas
-24.076344,-25.047356,Seca e Estiagem
18.556896,30.854908,Seca e Estiagem
-6.6872687,-0.25842112,Seca e Estiagem
-16.417372,47.83352,Seca e Estiagem
38.25741,-21.29349,Tempestades Severas
-51.223698,8.701182,Seca e Estiagem
42.922832,-2.745715,Inundações e Chuvas
13.600043,31.21325,Inundações e Chuvas
13.648474,31.20086,Incêndios Florestais
44.83086,-22.401642,Inundações e Chuvas
-52.947727,-14.253617,Seca e Estiagem
-4.5726027,8.852036,Tempestades Severas
-37.43576,14.74006,Seca e Estiagem
-31.248976,9.412256,Inundações e Chuvas
43.746746,-1.721612,Inundações e Chuvas
39.14434,-22.075294,Tempestades Severas
